PipelineID;Pipeline;train_set;validation_set;fit_time_cv1;fit_time_cv2;fit_time_cv3;fit_time_cv4;fit_time_cv5;fit_time_mean;score_time_cv1;score_time_cv2;score_time_cv3;score_time_cv4;score_time_cv5;score_time_mean;test_acc_cv1;test_acc_cv2;test_acc_cv3;test_acc_cv4;test_acc_cv5;test_acc_mean;test_prec_cv1;test_prec_cv2;test_prec_cv3;test_prec_cv4;test_prec_cv5;test_prec_mean;test_recall_cv1;test_recall_cv2;test_recall_cv3;test_recall_cv4;test_recall_cv5;test_recall_mean;test_f1-score_cv1;test_f1-score_cv2;test_f1-score_cv3;test_f1-score_cv4;test_f1-score_cv5;test_f1-score_mean;test_tp_cv1;test_tp_cv2;test_tp_cv3;test_tp_cv4;test_tp_cv5;test_tp_mean;test_tn_cv1;test_tn_cv2;test_tn_cv3;test_tn_cv4;test_tn_cv5;test_tn_mean;test_fp_cv1;test_fp_cv2;test_fp_cv3;test_fp_cv4;test_fp_cv5;test_fp_mean;test_fn_cv1;test_fn_cv2;test_fn_cv3;test_fn_cv4;test_fn_cv5;test_fn_mean;acc_overall;prec_overall;recall_overall;f1-score_overall;tp_overall;tn_overall;fp_overall;fn_overall;preprocessing
Sequential;Linear_SVC_TFIDF_RandomUnder;readme_train.csv;readme_test.csv;0.10859870910644531;0.1019446849822998;0.10238409042358398;0.08968949317932129;0.09851264953613281;0.10022592544555664;0.014282941818237305;0.023386478424072266;0.02163863182067871;0.014699220657348633;0.01031637191772461;0.016864728927612305;0.4482758620689655;0.6551724137931034;0.6896551724137931;0.4827586206896552;0.8275862068965517;0.6206896551724138;0.46153846153846156;0.6;0.7272727272727273;0.4782608695652174;0.8461538461538461;0.6226451809060505;0.8571428571428571;0.8571428571428571;0.5714285714285714;0.7857142857142857;0.7857142857142857;0.7714285714285714;0.6;0.7058823529411764;0.64;0.5945945945945946;0.8148148148148148;0.6710583524701172;12;12;8;11;11;10.8;1;7;12;3;13;7.2;14;8;3;12;2;7.8;2;2;6;3;3;3.2;0.8452102803738317;0.09259259259259259;0.5555555555555556;0.15873015873015875;25;1422;245;20;Preprocessed
Natural Language Processing;SVC_TFIDF_RandomUnder;readme_train.csv;readme_test.csv;2.404888391494751;2.257624864578247;2.4594204425811768;2.4770750999450684;2.2185826301574707;2.3635182857513426;0.13937854766845703;0.11339807510375977;0.12415862083435059;0.11449122428894043;0.16392755508422852;0.13107080459594728;0.8955223880597015;0.9477611940298507;0.9172932330827067;0.9323308270676691;0.7142857142857143;0.8814386713051284;0.868421052631579;0.9315068493150684;0.9264705882352942;0.9285714285714286;0.6534653465346535;0.8616870530576047;0.9428571428571428;0.9714285714285714;0.9130434782608695;0.9420289855072463;0.9565217391304348;0.9451759834368529;0.904109589041096;0.9510489510489512;0.9197080291970804;0.935251798561151;0.7764705882352941;0.8973177912167145;54;59;59;59;29;52.0;66;68;63;65;66;65.6;4;2;6;4;3;3.8;10;5;5;5;35;12.0;0.8674065420560748;0.43454038997214484;0.8666666666666667;0.5788497217068646;1329;156;24;203;Preprocessed
Audio;LR_TFIDF_RandomUnder;readme_train.csv;readme_test.csv;0.032158613204956055;0.03143501281738281;0.06051492691040039;0.05517315864562988;0.04967546463012695;0.04579143524169922;0.006696224212646484;0.006434440612792969;0.011707782745361328;0.014208316802978516;0.015199899673461914;0.010849332809448243;0.8823529411764706;0.9411764705882353;0.8823529411764706;0.8235294117647058;0.7647058823529411;0.8588235294117647;0.8;1.0;0.8;1.0;0.8333333333333334;0.8866666666666667;1.0;0.875;1.0;0.625;0.625;0.825;0.888888888888889;0.9333333333333333;0.888888888888889;0.7692307692307693;0.7142857142857143;0.8389255189255189;7;9;7;9;8;8.0;8;7;8;5;5;6.6;0;1;0;3;3;1.4;2;0;2;0;1;1.0;0.9410046728971962;0.1724137931034483;0.8;0.28368794326241137;1591;20;5;96;Preprocessed
Computer Vision;Linear_SVC_TFIDF_RandomUnder;readme_train.csv;readme_test.csv;1.1934747695922852;1.2986440658569336;1.3306739330291748;1.1874139308929443;1.1854279041290283;1.2391269207000732;0.2182629108428955;0.22122430801391602;0.2290968894958496;0.16511106491088867;0.2045445442199707;0.2076479434967041;0.8357894736842105;0.9556962025316456;0.9535864978902954;0.9683544303797469;0.9388185654008439;0.9304490339773483;0.8121693121693122;0.9620253164556962;0.9739413680781759;0.9869706840390879;0.9384615384615385;0.9347136438407622;0.9777070063694268;0.9712460063897763;0.9552715654952076;0.964968152866242;0.9713375796178344;0.9681060621476976;0.8872832369942197;0.9666136724960255;0.9645161290322579;0.9758454106280192;0.9546165884194052;0.9497750075139855;90;149;153;156;140;137.6;307;304;299;303;305;303.6;7;9;14;11;9;10.0;71;12;8;4;20;23.0;0.7167056074766355;0.6132315521628499;0.961436170212766;0.7488348006214397;504;723;29;456;Preprocessed
Graphs;SVC_TFIDF_RandomUnder;readme_train.csv;readme_test.csv;0.2879939079284668;0.2902262210845947;0.29149436950683594;0.22282934188842773;0.26793718338012695;0.2720962047576904;0.02726268768310547;0.03304290771484375;0.03166532516479492;0.019573211669921875;0.018896102905273438;0.02608804702758789;0.9534883720930233;0.9069767441860465;0.9534883720930233;0.9534883720930233;0.8604651162790697;0.9255813953488372;0.9523809523809523;0.9473684210526315;1.0;0.9523809523809523;0.9411764705882353;0.9586613592805543;0.9523809523809523;0.8571428571428571;0.9047619047619048;0.9523809523809523;0.7619047619047619;0.8857142857142856;0.9523809523809523;0.9;0.9500000000000001;0.9523809523809523;0.8421052631578947;0.9193734335839598;21;21;22;21;21;21.2;20;18;19;20;16;18.6;1;3;2;1;5;2.4;1;1;0;1;1;0.8;0.9853971962616822;0.5686274509803921;0.90625;0.6987951807228915;1658;29;3;22;Preprocessed
Reinforcement Learning;Linear_SVC_TFIDF_RandomUnder;readme_train.csv;readme_test.csv;0.25405454635620117;0.1408863067626953;0.24673962593078613;0.23635554313659668;0.15357565879821777;0.2063223361968994;0.028771162033081055;0.0284726619720459;0.029881954193115234;0.03187704086303711;0.024721145629882812;0.02874479293823242;0.9719626168224299;0.9626168224299065;0.9626168224299065;0.9813084112149533;0.9811320754716981;0.9719273496737788;1.0;0.9636363636363636;0.9811320754716981;0.9818181818181818;1.0;0.9853173241852489;0.9454545454545454;0.9636363636363636;0.9454545454545454;0.9818181818181818;0.9629629629629629;0.95986531986532;0.9719626168224299;0.9636363636363636;0.9629629629629629;0.9818181818181818;0.9811320754716981;0.9723024401423273;52;53;52;54;52;52.6;52;50;51;51;52;51.2;0;2;1;1;0;0.8;3;2;3;1;2;2.2;0.9427570093457944;0.4946236559139785;0.9583333333333334;0.652482269503546;92;1522;94;4;Preprocessed
