Pipeline;Input;F1 score;Precision;Recall;Pickle file name;Datetime;Scikit version;Validation set
[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f02ff8000d0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomualnb', MultinomialNB())];../data/somef_data.csv;0.4834595845733009 macro;0.5435136692998611 macro;0.6179149951759508 macro;24_01_2022_03_36_25/Natural Language Processing.sav;24_01_2022_03_36_25;1.0
[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f02ff8000d0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomualnb', MultinomialNB())];../data/somef_data.csv;0.67494366364172 weighted;0.8576096428545565 weighted;0.5948497854077254 weighted;24_01_2022_03_36_25/Natural Language Processing.sav;24_01_2022_03_36_25;1.0
[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f02ff8000d0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomialnb', MultinomialNB())];../data/somef_data.csv;0.6264043701344657 macro;0.609213113849622 macro;0.6688671101406591 macro;24_01_2022_03_39_05/Natural Language Processing.sav;24_01_2022_03_39_05;1.0
[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f02ff8000d0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomialnb', MultinomialNB())];../data/somef_data.csv;0.8442568185822027 weighted;0.8700684272873537 weighted;0.8257510729613734 weighted;24_01_2022_03_39_05/Natural Language Processing.sav;24_01_2022_03_39_05;1.0
[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f02ff8000d0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];../data/train_all.csv;0.9594628335984348 macro;0.9376703082392315 macro;0.9840933726450886 macro;24_01_2022_03_43_35/Natural Language Processing.sav;24_01_2022_03_43_35;1.0
[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f02ff8000d0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];../data/train_all.csv;0.9884892916440389 weighted;0.9892484733109489 weighted;0.9881920247773907 weighted;24_01_2022_03_43_35/Natural Language Processing.sav;24_01_2022_03_43_35;1.0
[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f02ff8000d0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];../data/train_all.csv;0.9780189855374626 macro;0.9693096231687908 macro;0.9871268454484359 macro;24_01_2022_03_48_37/Natural Language Processing.sav;24_01_2022_03_48_37;1.0
[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f02ff8000d0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];../data/train_all.csv;0.993863346876015 weighted;0.993985357278861 weighted;0.9938056523422377 weighted;24_01_2022_03_48_37/Natural Language Processing.sav;24_01_2022_03_48_37;1.0
[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f02ff8000d0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];../data/train_all.csv;0.9813448600864505 macro;0.975231778705145 macro;0.9876498580007371 macro;24_01_2022_03_53_56/Natural Language Processing.sav;24_01_2022_03_53_56;1.0
[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f02ff8000d0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];../data/train_all.csv;0.9948072210231859 weighted;0.9948718536308467 weighted;0.9947735191637631 weighted;24_01_2022_03_53_56/Natural Language Processing.sav;24_01_2022_03_53_56;1.0
[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f02ff8000d0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];../data/train_all.csv;0.9887737445570536 macro;0.9899443878084484 macro;0.9876097513386953 macro;24_01_2022_03_59_14/Natural Language Processing.sav;24_01_2022_03_59_14;1.0
[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f02ff8000d0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];../data/train_all.csv;0.9968991277718404 weighted;0.9968964974413667 weighted;0.9969028261711188 weighted;24_01_2022_03_59_14/Natural Language Processing.sav;24_01_2022_03_59_14;1.0
[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f02ff8000d0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomualnb', MultinomialNB())];../data/train_all.csv;0.9428927867573329 macro;0.9097292799182912 macro;0.9835459709064105 macro;24_01_2022_04_04_15/Natural Language Processing.sav;24_01_2022_04_04_15;1.0
[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f02ff8000d0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomualnb', MultinomialNB())];../data/train_all.csv;0.9834832740640163 weighted;0.9854249362281265 weighted;0.9827719705768486 weighted;24_01_2022_04_04_15/Natural Language Processing.sav;24_01_2022_04_04_15;1.0
[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f02ff8000d0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomialnb', MultinomialNB())];../data/train_all.csv;0.9522353147702104 macro;0.9251013282750512 macro;0.9840288767966701 macro;24_01_2022_04_09_17/Natural Language Processing.sav;24_01_2022_04_09_17;1.0
[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f02ff8000d0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomialnb', MultinomialNB())];../data/train_all.csv;0.9863269058702041 weighted;0.9875460860108328 weighted;0.9858691444057298 weighted;24_01_2022_04_09_17/Natural Language Processing.sav;24_01_2022_04_09_17;1.0
[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f02ff8000d0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];../data/merged.csv;0.6973315527778966 macro;0.6609862446742728 macro;0.8559121019347332 macro;24_01_2022_04_16_37/Natural Language Processing.sav;24_01_2022_04_16_37;1.0
[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f02ff8000d0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];../data/merged.csv;0.8751898453814395 weighted;0.9321751553388706 weighted;0.847385272145144 weighted;24_01_2022_04_16_37/Natural Language Processing.sav;24_01_2022_04_16_37;1.0
[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f02ff8000d0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];../data/merged.csv;0.717335654752157 macro;0.6757715481955294 macro;0.8803571093471447 macro;24_01_2022_04_24_25/Natural Language Processing.sav;24_01_2022_04_24_25;1.0
[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f02ff8000d0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];../data/merged.csv;0.8848865149969125 weighted;0.9380816189062171 weighted;0.8599252934898612 weighted;24_01_2022_04_24_25/Natural Language Processing.sav;24_01_2022_04_24_25;1.0
[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f02ff8000d0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];../data/merged.csv;0.7127670609062258 macro;0.6721818339889878 macro;0.8656096943083939 macro;24_01_2022_04_41_32/Natural Language Processing.sav;24_01_2022_04_41_32;1.0
[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f02ff8000d0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];../data/merged.csv;0.8842731814733317 weighted;0.9347519691557952 weighted;0.8597918890074706 weighted;24_01_2022_04_41_32/Natural Language Processing.sav;24_01_2022_04_41_32;1.0
[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f02ff8000d0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];../data/merged.csv;0.7280067491848834 macro;0.6839356321709644 macro;0.8678179361594325 macro;24_01_2022_04_58_42/Natural Language Processing.sav;24_01_2022_04_58_42;1.0
[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f02ff8000d0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];../data/merged.csv;0.8938958067525186 weighted;0.9359460928932163 weighted;0.8732657417289221 weighted;24_01_2022_04_58_42/Natural Language Processing.sav;24_01_2022_04_58_42;1.0
[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f02ff8000d0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomualnb', MultinomialNB())];../data/merged.csv;0.6835454024157441 macro;0.6540340682556719 macro;0.8778110867158325 macro;24_01_2022_05_06_35/Natural Language Processing.sav;24_01_2022_05_06_35;1.0
[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f02ff8000d0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomualnb', MultinomialNB())];../data/merged.csv;0.8605205047466052 weighted;0.9372976158845184 weighted;0.8256403415154749 weighted;24_01_2022_05_06_35/Natural Language Processing.sav;24_01_2022_05_06_35;1.0
[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f02ff8000d0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomialnb', MultinomialNB())];../data/merged.csv;0.7897402661646298 macro;0.7412037690570299 macro;0.8847745313291674 macro;24_01_2022_05_14_18/Natural Language Processing.sav;24_01_2022_05_14_18;1.0
[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f02ff8000d0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomialnb', MultinomialNB())];../data/merged.csv;0.9259840445641079 weighted;0.9448781962840185 weighted;0.9164887940234792 weighted;24_01_2022_05_14_18/Natural Language Processing.sav;24_01_2022_05_14_18;1.0
