PipelineID;Pipeline;test_acc_mean;test_prec_mean;test_recall_mean;test_f1-score_mean;acc_overall;prec_overall;recall_overall;f1-score_overall;train_set;validation_set
Sequential_No_general_in_negativ_samples_structured;LR_Count_Vectors_RandomUnder;0.5795631247686043;0.5890694411971007;0.7066066066066067;0.630832603139832;0.8241822429906542;0.10248447204968944;0.7333333333333333;0.1798365122615804;readme_train.csv;readme_test.csv
Sequential_No_general_in_negativ_samples_structured;LR_TFIDF_RandomUnder;0.6479822288041467;0.6579598436389482;0.7728228228228228;0.6951489047583054;0.8679906542056075;0.13360323886639677;0.7333333333333333;0.226027397260274;readme_train.csv;readme_test.csv
Sequential_No_general_in_negativ_samples_structured;SVC_Count_Vectors_RandomUnder;0.5522028878193261;0.6391036414565827;0.4036036036036036;0.467543106241534;0.9094626168224299;0.11267605633802817;0.35555555555555557;0.17112299465240643;readme_train.csv;readme_test.csv
Sequential_No_general_in_negativ_samples_structured;SVC_TFIDF_RandomUnder;0.6343206219918548;0.6580478416778727;0.772972972972973;0.6899749965178967;0.8615654205607477;0.125;0.7111111111111111;0.21262458471760798;readme_train.csv;readme_test.csv
Sequential_No_general_in_negativ_samples_structured;KNN_Count_Vectors_RandomUnder;0.5467604590892262;0.6211584730510561;0.2875375375375375;0.3796026537494954;0.9141355140186916;0.1076923076923077;0.3111111111111111;0.16;readme_train.csv;readme_test.csv
Sequential_No_general_in_negativ_samples_structured;KNN_TFIDF_RandomUnder;0.5659015179563125;0.5641544477028348;0.6956456456456457;0.6150836871126726;0.772196261682243;0.06766917293233082;0.6;0.12162162162162163;readme_train.csv;readme_test.csv
Sequential_No_general_in_negativ_samples_structured;RandomForestClassifier_Count_Vectors_RandomUnder;0.5987041836356906;0.6158235810561392;0.6403903903903905;0.619574001245447;0.8189252336448598;0.08201892744479496;0.5777777777777777;0.143646408839779;readme_train.csv;readme_test.csv
Sequential_No_general_in_negativ_samples_structured;RandomForestClassifier_TFIDF_RandomUnder;0.5521658644946316;0.5500591580894654;0.7178678678678679;0.6173394008766298;0.782126168224299;0.08375634517766498;0.7333333333333333;0.15034168564920275;readme_train.csv;readme_test.csv
Sequential_No_general_in_negativ_samples_structured;SGDClassifier_Count_Vectors_RandomUnder;0.5603109959274343;0.6134207727380283;0.5677177177177178;0.5539607755682476;0.6985981308411215;0.058161350844277676;0.6888888888888889;0.10726643598615918;readme_train.csv;readme_test.csv
Sequential_No_general_in_negativ_samples_structured;SGDClassifier_TFIDF_RandomUnder;0.5795631247686043;0.5829178226136199;0.8283783783783785;0.6706562807672324;0.6915887850467289;0.06329113924050633;0.7777777777777778;0.11705685618729098;readme_train.csv;readme_test.csv
Sequential_No_general_in_negativ_samples_structured;SVC_Count_Vectors_RandomUnder;0.5603109959274343;0.562481534858584;0.6788288288288289;0.6052731976273223;0.7920560747663551;0.08086253369272237;0.6666666666666666;0.14423076923076925;readme_train.csv;readme_test.csv
Sequential_No_general_in_negativ_samples_structured;SVC_TFIDF_RandomUnder;0.6122917437985931;0.6094017661415839;0.7947447447447448;0.6768589458124611;0.8393691588785047;0.11148648648648649;0.7333333333333333;0.1935483870967742;readme_train.csv;readme_test.csv
Sequential_No_general_in_negativ_samples_structured;SVC_Count_Vectors_RandomUnder;0.5905220288781933;0.6108831039760637;0.6845345345345346;0.6261531796798322;0.8271028037383178;0.07744107744107744;0.5111111111111111;0.13450292397660818;readme_train.csv;readme_test.csv
Sequential_No_general_in_negativ_samples_structured;SVC_TFIDF_RandomUnder;0.6287671232876713;0.6177621795686855;0.8336336336336336;0.6987447993475586;0.7961448598130841;0.0891891891891892;0.7333333333333333;0.15903614457831328;readme_train.csv;readme_test.csv
Natural Language Processing_No_general_in_negativ_samples_structured;LR_Count_Vectors_RandomUnder;0.852464291320044;0.8697977659521887;0.8158008658008657;0.8363002862861919;0.8212616822429907;0.9819182389937107;0.8152741514360313;0.890870185449358;readme_train.csv;readme_test.csv
Natural Language Processing_No_general_in_negativ_samples_structured;LR_TFIDF_RandomUnder;0.8835138387484959;0.8966437747035572;0.8564935064935064;0.8710016261057596;0.8510514018691588;0.9818867924528302;0.8492167101827677;0.9107455372768639;readme_train.csv;readme_test.csv
Natural Language Processing_No_general_in_negativ_samples_structured;SVC_Count_Vectors_RandomUnder;0.7967849107937006;0.7402660472676093;0.8851902483481432;0.8040477385446275;0.8761682242990654;0.9707560627674751;0.8883812010443864;0.9277436946148603;readme_train.csv;readme_test.csv
Natural Language Processing_No_general_in_negativ_samples_structured;SVC_TFIDF_RandomUnder;0.8806388322084444;0.9073129337015301;0.8384028252449305;0.865628357289763;0.8399532710280374;0.9845916795069337;0.8342036553524804;0.9031802120141342;readme_train.csv;readme_test.csv
Natural Language Processing_No_general_in_negativ_samples_structured;KNN_Count_Vectors_RandomUnder;0.6796630565583635;0.7919437134331564;0.45096832991569835;0.5697774500983676;0.4608644859813084;0.967741935483871;0.4112271540469974;0.5771873568483737;readme_train.csv;readme_test.csv
Natural Language Processing_No_general_in_negativ_samples_structured;KNN_TFIDF_RandomUnder;0.8387144875215823;0.9043898411678747;0.7404420141262247;0.807339766290125;0.7412383177570093;0.9848619768477292;0.7219321148825065;0.8331450094161958;readme_train.csv;readme_test.csv
Natural Language Processing_No_general_in_negativ_samples_structured;RandomForestClassifier_Count_Vectors_RandomUnder;0.8503034583791138;0.8642043003029587;0.8173957621326042;0.8356762185924813;0.8311915887850467;0.9829059829059829;0.8257180156657964;0.8974813763746008;readme_train.csv;readme_test.csv
