PipelineID;Pipeline;test_acc_mean;test_prec_mean;test_recall_mean;test_f1-score_mean;acc_overall;prec_overall;recall_overall;f1-score_overall;train_set;validation_set
Sequential;LR_Count_Vectors_RandomUnder;0.6737290625918309;0.721311914686299;0.6598780487804878;0.6756545785561175;0.7708333333333334;0.08064516129032258;0.8695652173913043;0.14760147601476015;readme_semantic_web_train.csv;readme_semantic_web_test.csv
Sequential;LR_TFIDF_ngrams_RandomUnder;0.6565383485160152;0.6983516025706695;0.6347560975609756;0.6496974417649475;0.7827380952380952;0.06637168141592921;0.6521739130434783;0.12048192771084337;readme_semantic_web_train.csv;readme_semantic_web_test.csv
Sequential;SVC_Count_Vectors_RandomUnder;0.6299735527475756;0.7462085086489013;0.5065853658536585;0.5769026616259977;0.8373015873015873;0.11049723756906077;0.8695652173913043;0.196078431372549;readme_semantic_web_train.csv;readme_semantic_web_test.csv
Sequential;SVC_TFIDF_ngrams_RandomUnder;0.5962679988245666;0.6110771847225624;0.762560975609756;0.6579181981181994;0.5763888888888888;0.03881278538812785;0.7391304347826086;0.0737527114967462;readme_semantic_web_train.csv;readme_semantic_web_test.csv
Sequential;KNN_Count_Vectors_RandomUnder;0.5790772847487512;0.7412201591511935;0.29560975609756096;0.4098508898508898;0.8392857142857143;0.07878787878787878;0.5652173913043478;0.13829787234042554;readme_semantic_web_train.csv;readme_semantic_web_test.csv
Sequential;KNN_TFIDF_ngrams_RandomUnder;0.5424919188950926;0.85;0.12304878048780488;0.20660173736114346;0.9652777777777778;0.2;0.17391304347826086;0.18604651162790697;readme_semantic_web_train.csv;readme_semantic_web_test.csv
Sequential;RandomForestClassifier_Count_Vectors_RandomUnder;0.6326182779900089;0.694023949889462;0.6298780487804878;0.6374508787093056;0.7172619047619048;0.06622516556291391;0.8695652173913043;0.1230769230769231;readme_semantic_web_train.csv;readme_semantic_web_test.csv
Sequential;RandomForestClassifier_TFIDF_ngrams_RandomUnder;0.6299147810755216;0.7103199174406605;0.5360975609756098;0.5909623742588719;0.7797619047619048;0.06167400881057269;0.6086956521739131;0.112;readme_semantic_web_train.csv;readme_semantic_web_test.csv
Sequential;Linear_SVC_Count_Vectors_RandomUnder;0.6639435791948282;0.6967514222686637;0.6645121951219511;0.6672899233153448;0.7311507936507936;0.0539568345323741;0.6521739130434783;0.09966777408637872;readme_semantic_web_train.csv;readme_semantic_web_test.csv
Sequential;Linear_SVC_TFIDF_ngrams_RandomUnder;0.6589773729062592;0.696886645458074;0.6348780487804879;0.6523701815207522;0.7728174603174603;0.0635593220338983;0.6521739130434783;0.1158301158301158;readme_semantic_web_train.csv;readme_semantic_web_test.csv

Sequential;LR_Count_Vectors_RandomUnder;0.6784895680282105;0.7041651865081408;0.6990243902439024;0.6879948777138727;0.7083333333333334;0.05863192182410423;0.782608695652174;0.10909090909090909;readme_semantic_web_train.csv;readme_semantic_web_test.csv
Sequential;LR_TFIDF_ngrams_RandomUnder;0.741345871290038;0.7793008348240906;0.7870731707317074;0.75878457117949;0.808531746031746;0.09134615384615384;0.8260869565217391;0.16450216450216448;readme_semantic_web_train.csv;readme_semantic_web_test.csv
Sequential;SVC_Count_Vectors_RandomUnder;0.6104025859535704;0.7373856209150327;0.4371951219512195;0.5197707477707477;0.8293650793650794;0.0972972972972973;0.782608695652174;0.1730769230769231;readme_semantic_web_train.csv;readme_semantic_web_test.csv
Sequential;SVC_TFIDF_ngrams_RandomUnder;0.7341463414634146;0.7709054079049329;0.7725609756097561;0.7518580000502121;0.816468253968254;0.09090909090909091;0.782608695652174;0.16289592760180996;readme_semantic_web_train.csv;readme_semantic_web_test.csv
Sequential;KNN_Count_Vectors_RandomUnder;0.5353805465765501;0.6449249011857707;0.24085365853658539;0.3356537311894455;0.8363095238095238;0.07228915662650602;0.5217391304347826;0.12698412698412698;readme_semantic_web_train.csv;readme_semantic_web_test.csv
Sequential;KNN_TFIDF_ngrams_RandomUnder;0.6783426388480752;0.6607775701619751;0.8074390243902438;0.7173047047512726;0.5992063492063492;0.047505938242280284;0.8695652173913043;0.09009009009009009;readme_semantic_web_train.csv;readme_semantic_web_test.csv
Sequential;RandomForestClassifier_Count_Vectors_RandomUnder;0.6178665883044373;0.6521489295018708;0.6295121951219512;0.62000152852454;0.6527777777777778;0.04709141274238227;0.7391304347826086;0.08854166666666666;readme_semantic_web_train.csv;readme_semantic_web_test.csv
Sequential;RandomForestClassifier_TFIDF_ngrams_RandomUnder;0.6421686746987951;0.658000258000258;0.7135365853658537;0.6680266225003069;0.6795634920634921;0.05120481927710843;0.7391304347826086;0.09523809523809522;readme_semantic_web_train.csv;readme_semantic_web_test.csv
Sequential;Linear_SVC_Count_Vectors_RandomUnder;0.6615633264766382;0.6854236032739974;0.6648780487804877;0.6656587647623058;0.6924603174603174;0.05846153846153846;0.8260869565217391;0.10919540229885057;readme_semantic_web_train.csv;readme_semantic_web_test.csv
Sequential;Linear_SVC_TFIDF_ngrams_RandomUnder;0.7389068468997941;0.7575996945160423;0.7873170731707317;0.7553980080669372;0.7688492063492064;0.07317073170731707;0.782608695652174;0.1338289962825279;readme_semantic_web_train.csv;readme_semantic_web_test.csv

Sequential;LR_Count_Vectors_RandomUnder;0.6470761093153101;0.6947753159589865;0.6545121951219512;0.653033066442645;0.7876984126984127;0.0639269406392694;0.6086956521739131;0.11570247933884296;readme_semantic_web_train.csv;readme_semantic_web_test.csv
