Category;F1 score;Pipeline_id;Pipeline;Validation set;Training dataset
Audio;0.770018496894795;2_Audio;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f5475c901f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];data/readme_test.csv;data/readme_train.csv
Graphs;0.7672258146116268;6_Graphs;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f5475c901f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomialnb', MultinomialNB())];data/readme_test.csv;data/readme_train.csv
Natural Language Processing;0.7729384634293519;6_Natural Language Processing;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f5475c901f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomialnb', MultinomialNB())];data/readme_test.csv;data/readme_train.csv
Reinforcement Learning;0.8373138403763549;2_Reinforcement Learning;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f5475c901f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];data/readme_test.csv;data/readme_train.csv
Reinforcement Learning;0.8249727371864775;5_Reinforcement Learning;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f5475c901f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomualnb', MultinomialNB())];data/readme_test.csv;data/readme_train.csv
