PipelineID;Pipeline;Input;F1 score;Precision;Recall;Pickle file name;Datetime;Sklearn version;Validation set
1_Graphs;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f5475c901f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];data/readme_train.csv;0.5526115460216104 macro;0.5509245711055585 macro;0.8787202380952381 macro;;22_02_2022_20_55_52;1.0;data/readme_test.csv
2_Graphs;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f5475c901f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];data/readme_train.csv;0.7090310576785459 macro;0.6436088786835055 macro;0.9467261904761906 macro;;22_02_2022_21_00_51;1.0;data/readme_test.csv
3_Graphs;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f5475c901f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];data/readme_train.csv;0.5391647012290699 macro;0.5474792756252891 macro;0.897172619047619 macro;;22_02_2022_21_30_54;1.0;data/readme_test.csv
4_Graphs;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f5475c901f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];data/readme_train.csv;0.5125809561861652 macro;0.5382074594584014 macro;0.8630952380952381 macro;;22_02_2022_22_02_06;1.0;data/readme_test.csv
5_Graphs;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f5475c901f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomualnb', MultinomialNB())];data/readme_train.csv;0.6709035558484762 macro;0.6159908994880962 macro;0.9248511904761905 macro;;22_02_2022_22_07_46;1.0;data/readme_test.csv
6_Graphs;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f5475c901f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomialnb', MultinomialNB())];data/readme_train.csv;0.7672258146116268 macro;0.7045299219344094 macro;0.8952380952380952 macro;;22_02_2022_22_12_44;1.0;data/readme_test.csv
