PipelineID;Pipeline;time;Acc;Pr;R;F1;test_tp_mean;test_tn_mean;test_fp_mean;test_fn_mean
Audio;LR_TFIDF_RU;0.17;0.96;0.96;0.96;0.96;9.2;9.2;0.4;0.4
Computer Vision;SVC_TFIDF_RU;33.57;0.87;0.86;0.89;0.87;301.6;317.6;37.4;53.4
Natural Language Processing;RFC_CV_RU;0.84;0.93;0.91;0.94;0.93;69.4;72;4.2;6.8
Graphs;LR_TFIDF_RU;0.31;0.94;0.97;0.92;0.94;23.6;22.4;2;0.8
Reinforcement Learning;RFC_TFIDF_RU;0.99;0.98;1.00;0.96;0.98;62.4;64.8;0;2.4
Sequential;LSVC_TFIDF_RU;0.20;0.79;0.75;0.87;0.80;11;8.8;3.8;1.6
