PipelineID;Pipeline;time;Acc;Pr;R;F1;test_tp_mean;test_tn_mean;test_fp_mean;test_fn_mean
Audio;LSVC_CV_RU;0.14;0.92;0.90;0.96;0.92;8.8;9.2;0.4;1.2
Computer Vision;LSVC_TFIDF_RU;3.54;0.92;0.92;0.99;0.95;146.8;346.8;4.8;35.8
Natural Language Processing;LSVC_TFIDF_RU;0.74;0.90;0.89;0.96;0.92;57;73.4;2.8;11.4
Graphs;LR_TFIDF_RU;0.55;0.96;0.97;0.93;0.95;24.4;22.8;1.6;0.6
Reinforcement Learning;LR_TFIDF_RU;1.93;0.97;0.99;0.96;0.97;62.2;60.6;0.6;2.6
Sequential;LSVC_TFIDF_RU;0.21;0.52;0.51;0.78;0.62;9.8;3.6;9.4;2.8
