PipelineID;Pipeline;time;Acc;Pr;R;F1;test_tp_mean;test_tn_mean;test_fp_mean;test_fn_mean
Audio;RFC_TFIDF_RU;0.3061816692;0.9684210526;0.98;0.9577777778;0.9671826625;9.4;9.2;0.4;0.2
Computer Vision;RFC_CV_RU;9.701579857;0.8718309859;0.8452076126;0.9104225352;0.8765540173;295.8;323.2;31.8;59.2
Graphs;RFC_TFIDF_RU;0.4730345726;0.9426870748;0.9519487179;0.9343333333;0.9420788315;23.2;22.8;1.6;1.2
Natural Language Processing;RFC_TFIDF_RU;1.342236805;0.9251719986;0.9141767198;0.939644566;0.9262788554;69.4;71.6;4.6;6.8
Reinforcement Learning;RFC_TFIDF_RU;0.9302466393;0.975301133;0.9759027446;0.9752884615;0.9753512075;63.2;63.2;1.6;1.6
Sequential;RFC_CV_RU;0.3448801041;0.8252307692;0.8424297924;0.8076923077;0.8206886447;10.2;10.6;2;2.4
