;fit_time;score_time;estimator;test_accuracy;train_accuracy;test_f1_macro;train_f1_macro;test_f1_weighted;train_f1_weighted;test_recall_macro;train_recall_macro;test_recall_weighted;train_recall_weighted;test_precision_macro;train_precision_macro;test_precision_weighted;train_precision_weighted
0;0.7805445194244385;0.058653831481933594;"Pipeline(steps=[('vect', TfidfVectorizer(min_df=0.0, ngram_range=(1, 2))),('clf_structured', LinearSVC(max_iter=900000))])";0.9655172413793104;1.0;0.965352449223417;1.0;0.9654678037325423;1.0;0.964435545385202;1.0;0.9655172413793104;1.0;0.9671077867280399;1.0;0.9662513392325701;1.0
1;0.7860682010650635;0.09974884986877441;"Pipeline(steps=[('vect', TfidfVectorizer(min_df=0.0, ngram_range=(1, 2))),('clf_structured', LinearSVC(max_iter=900000))])";0.9655172413793104;1.0;0.965352449223417;1.0;0.9654678037325423;1.0;0.964435545385202;1.0;0.9655172413793104;1.0;0.9671077867280399;1.0;0.9662513392325701;1.0
2;0.8197712898254395;0.05075359344482422;"Pipeline(steps=[('vect', TfidfVectorizer(min_df=0.0, ngram_range=(1, 2))),('clf_structured', LinearSVC(max_iter=900000))])";0.9517241379310345;1.0;0.9513912168957426;1.0;0.9516409076722115;1.0;0.9502482811306341;1.0;0.9517241379310345;1.0;0.9533653846153847;1.0;0.9523806366047743;1.0
3;0.7395036220550537;0.05118918418884277;"Pipeline(steps=[('vect', TfidfVectorizer(min_df=0.0, ngram_range=(1, 2))),('clf_structured', LinearSVC(max_iter=900000))])";0.9652777777777778;1.0;0.9652627008250109;1.0;0.9653029060323893;1.0;0.9671052631578947;1.0;0.9652777777777778;1.0;0.9657534246575342;1.0;0.96765601217656;1.0
4;0.40544939041137695;0.05394768714904785;"Pipeline(steps=[('vect', TfidfVectorizer(min_df=0.0, ngram_range=(1, 2))),('clf_structured', LinearSVC(max_iter=900000))])";0.7222222222222222;1.0;0.6936170212765957;1.0;0.6988179669030733;1.0;0.7074303405572755;1.0;0.7222222222222222;1.0;0.7991071428571428;1.0;0.7914186507936508;1.0
0;1.270169973373413;0.13261103630065918;"Pipeline(steps=[('vect', TfidfVectorizer(min_df=0.0, ngram_range=(1, 2))),('clf_majority', LinearSVC(max_iter=900000))])";0.9447513812154696;1.0;0.9133141762452107;1.0;0.9433093075929806;1.0;0.8938254727728412;1.0;0.9447513812154696;1.0;0.9372628383506199;1.0;0.9440944914904826;1.0
1;1.2966525554656982;0.14083409309387207;"Pipeline(steps=[('vect', TfidfVectorizer(min_df=0.0, ngram_range=(1, 2))),('clf_majority', LinearSVC(max_iter=900000))])";0.9168975069252078;1.0;0.871218607305936;1.0;0.9156227469358327;1.0;0.8605263157894737;1.0;0.9168975069252078;1.0;0.8833578792341679;1.0;0.9150763506704908;1.0
2;1.2733955383300781;0.13582348823547363;"Pipeline(steps=[('vect', TfidfVectorizer(min_df=0.0, ngram_range=(1, 2))),('clf_majority', LinearSVC(max_iter=900000))])";0.9556786703601108;1.0;0.9320086637159808;1.0;0.9552341631930851;1.0;0.9236842105263159;1.0;0.9556786703601108;1.0;0.9410322952710496;1.0;0.9551387118314818;1.0
3;2.0321388244628906;0.22414016723632812;"Pipeline(steps=[('vect', TfidfVectorizer(min_df=0.0, ngram_range=(1, 2))),('clf_majority', LinearSVC(max_iter=900000))])";0.9335180055401662;1.0;0.8887519260400616;1.0;0.9296083042737816;1.0;0.8517543859649123;1.0;0.9335180055401662;1.0;0.9460772833723654;1.0;0.9355355602120053;1.0
4;1.9968695640563965;0.24258184432983398;"Pipeline(steps=[('vect', TfidfVectorizer(min_df=0.0, ngram_range=(1, 2))),('clf_majority', LinearSVC(max_iter=900000))])";0.9141274238227147;1.0;0.8714520371710489;1.0;0.9143325939508476;1.0;0.8732456140350877;1.0;0.9141274238227147;1.0;0.8696954453996708;1.0;0.9145567183002321;1.0
