;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_lr__C;param_lr__penalty;params;split0_test_accuracy;split1_test_accuracy;split2_test_accuracy;split3_test_accuracy;split4_test_accuracy;mean_test_accuracy;std_test_accuracy;rank_test_accuracy;split0_train_accuracy;split1_train_accuracy;split2_train_accuracy;split3_train_accuracy;split4_train_accuracy;mean_train_accuracy;std_train_accuracy;split0_test_f1_macro;split1_test_f1_macro;split2_test_f1_macro;split3_test_f1_macro;split4_test_f1_macro;mean_test_f1_macro;std_test_f1_macro;rank_test_f1_macro;split0_train_f1_macro;split1_train_f1_macro;split2_train_f1_macro;split3_train_f1_macro;split4_train_f1_macro;mean_train_f1_macro;std_train_f1_macro;split0_test_f1_weighted;split1_test_f1_weighted;split2_test_f1_weighted;split3_test_f1_weighted;split4_test_f1_weighted;mean_test_f1_weighted;std_test_f1_weighted;rank_test_f1_weighted;split0_train_f1_weighted;split1_train_f1_weighted;split2_train_f1_weighted;split3_train_f1_weighted;split4_train_f1_weighted;mean_train_f1_weighted;std_train_f1_weighted;split0_test_recall_macro;split1_test_recall_macro;split2_test_recall_macro;split3_test_recall_macro;split4_test_recall_macro;mean_test_recall_macro;std_test_recall_macro;rank_test_recall_macro;split0_train_recall_macro;split1_train_recall_macro;split2_train_recall_macro;split3_train_recall_macro;split4_train_recall_macro;mean_train_recall_macro;std_train_recall_macro;split0_test_recall_weighted;split1_test_recall_weighted;split2_test_recall_weighted;split3_test_recall_weighted;split4_test_recall_weighted;mean_test_recall_weighted;std_test_recall_weighted;rank_test_recall_weighted;split0_train_recall_weighted;split1_train_recall_weighted;split2_train_recall_weighted;split3_train_recall_weighted;split4_train_recall_weighted;mean_train_recall_weighted;std_train_recall_weighted;split0_test_precision_macro;split1_test_precision_macro;split2_test_precision_macro;split3_test_precision_macro;split4_test_precision_macro;mean_test_precision_macro;std_test_precision_macro;rank_test_precision_macro;split0_train_precision_macro;split1_train_precision_macro;split2_train_precision_macro;split3_train_precision_macro;split4_train_precision_macro;mean_train_precision_macro;std_train_precision_macro;split0_test_precision_weighted;split1_test_precision_weighted;split2_test_precision_weighted;split3_test_precision_weighted;split4_test_precision_weighted;mean_test_precision_weighted;std_test_precision_weighted;rank_test_precision_weighted;split0_train_precision_weighted;split1_train_precision_weighted;split2_train_precision_weighted;split3_train_precision_weighted;split4_train_precision_weighted;mean_train_precision_weighted;std_train_precision_weighted
1;0.40234694480895994;0.003941906408695188;0.11946401596069336;0.021981808651607246;1;l2;{'lr__C': 1, 'lr__penalty': 'l2'};0.925414364640884;0.8698060941828255;0.9307479224376731;0.9058171745152355;0.8947368421052632;0.9053044795763763;0.022017490526007058;3;0.9113573407202216;0.9259515570934256;0.9162629757785468;0.9141868512110727;0.9183391003460207;0.9172195650298575;0.004939213189997184;0.8770797962648557;0.7808475736557264;0.8909984661279997;0.8344751321609667;0.8278709094559327;0.8422543755330963;0.0390563499003952;7;0.8533861305716316;0.8800307885930125;0.8604175697672656;0.8579902103754804;0.8644706637925005;0.8632590726199781;0.009122153718864288;0.9213687399750489;0.8616837944825251;0.9291068898377325;0.8973885787940561;0.8899819313390885;0.8999059868856902;0.023996261031609907;7;0.9067605046731969;0.9229209918344496;0.9114360752589721;0.9096119871606505;0.9138451363744867;0.9129149390603513;0.00551289309132367;0.8436318067897015;0.7535087719298246;0.8741228070175439;0.7907894736842105;0.8030701754385965;0.8130246069719753;0.041965264707213325;7;0.8232456140350877;0.8534081104400346;0.8268550474547023;0.8267400057520852;0.8317730802415876;0.8324043715846994;0.010847289551782342;0.925414364640884;0.8698060941828255;0.9307479224376731;0.9058171745152355;0.8947368421052632;0.9053044795763763;0.022017490526007058;3;0.9113573407202216;0.9259515570934256;0.9162629757785468;0.9141868512110727;0.9183391003460207;0.9172195650298575;0.004939213189997184;0.9276882940108893;0.8262626262626263;0.9113869428368362;0.919229233226837;0.8634828349944629;0.8896099862663304;0.03872211048404375;1;0.8984010470012518;0.9166073353811103;0.9125225957734107;0.9051131460521905;0.9142636031946678;0.9093815454805261;0.006703779600899575;0.9257656220232425;0.8625199362041468;0.9292126905750517;0.9086514208844796;0.8905869324473976;0.9033473204268636;0.02461476753857048;1;0.9094535587860056;0.9247945600713341;0.9156678297152925;0.9128207185930516;0.9177114655263596;0.9160896265384088;0.005163473568155069
2;0.40825839042663575;0.036296728930474816;0.0;0.0;2;l1;{'lr__C': 2, 'lr__penalty': 'l1'};-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;8;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;8;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;8;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;8;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;8;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;8;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;8;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0
3;0.43958044052124023;0.03810622035576188;0.11499567031860351;0.00857633226646234;2;l2;{'lr__C': 2, 'lr__penalty': 'l2'};0.9226519337016574;0.8670360110803325;0.9279778393351801;0.9085872576177285;0.9030470914127424;0.9058600266295281;0.02141877848413558;1;0.9203601108033241;0.9335640138408304;0.9280276816608997;0.9245674740484429;0.9294117647058824;0.9271862090118759;0.004467459196543728;0.8760273972602739;0.7800791958574476;0.8883894596651446;0.8423476477205054;0.8457660428949841;0.8465219486796711;0.03756619639172816;5;0.872449038375127;0.894257331552661;0.8838769101429207;0.8777883734265267;0.8857951798266821;0.8828333666647836;0.007398033857149245;0.9197116476197685;0.8601407570097953;0.9268730473443882;0.9015103762184525;0.9001830389868544;0.9016837734358518;0.023184513158086433;3;0.917707407358147;0.9315116785567716;0.9252527734622388;0.92148026270986;0.9265788846129446;0.9245062013399924;0.0046756817924107725;0.8513556618819778;0.756578947368421;0.8771929824561404;0.8021929824561403;0.8276315789473684;0.8229904306220096;0.04148990765401819;6;0.8506578947368422;0.8726416450963475;0.8583261432269198;0.8513301696865114;0.859203336209376;0.8584318377911995;0.007916980299093051;0.9226519337016574;0.8670360110803325;0.9279778393351801;0.9085872576177285;0.9030470914127424;0.9058600266295281;0.02141877848413558;1;0.9203601108033241;0.9335640138408304;0.9280276816608997;0.9245674740484429;0.9294117647058824;0.9271862090118759;0.004467459196543728;0.9093273875882572;0.8162342096278594;0.9010800196367206;0.9140101201771031;0.8688409563409563;0.8818985386741793;0.03642452250003789;2;0.9008113590263691;0.9218049053630841;0.918362412862151;0.9141578008774249;0.9220766054084744;0.9154426167075007;0.007857966475561069;0.9210710553492202;0.8595712565811935;0.926517324238431;0.9096341422817005;0.8997893642630485;0.9033166285427188;0.023746587515622197;2;0.91830895697662;0.9323969825787457;0.926884587568545;0.9232785533410136;0.9285170449598265;0.9258772250849502;0.004785863410406769
4;0.3970151424407959;0.03167181928865177;0.0;0.0;4;l1;{'lr__C': 4, 'lr__penalty': 'l1'};-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;8;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;8;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;8;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;8;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;8;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;8;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;8;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0
5;0.4399082660675049;0.04389909230696704;0.11393542289733886;0.007857325721790607;4;l2;{'lr__C': 4, 'lr__penalty': 'l2'};0.9226519337016574;0.8587257617728532;0.925207756232687;0.9085872576177285;0.9002770083102493;0.9030899435270351;0.02399242708830424;7;0.932825484764543;0.9370242214532872;0.9418685121107266;0.9363321799307959;0.942560553633218;0.9381221903785141;0.0036386469580527146;0.878639846743295;0.7728074830015919;0.8858357637302786;0.8461270198008293;0.8438581314878892;0.8454536489527766;0.04003124641922006;6;0.8941290560065063;0.9004315302552002;0.9079684827310115;0.9002598914818016;0.9091848023206772;0.9023947525590394;0.005548060146166847;0.9206330306301729;0.8536945112141758;0.9246506053953887;0.9028843663387943;0.8981970497177199;0.9000119126592502;0.025255265115925418;6;0.9311854299374555;0.9353115498332853;0.9402450215360996;0.9349208360789365;0.9409984465512384;0.9365322567874029;0.0036443609211102602;0.8608339029391661;0.756140350877193;0.8802631578947369;0.8118421052631579;0.8307017543859649;0.8279562542720436;0.04299227720892925;5;0.8766447368421053;0.8808383664078229;0.8875107851596205;0.8840020132297959;0.8891501294219155;0.883629206212252;0.004522340820426708;0.9226519337016574;0.8587257617728532;0.925207756232687;0.9085872576177285;0.9002770083102493;0.9030899435270351;0.02399242708830424;7;0.932825484764543;0.9370242214532872;0.9418685121107266;0.9363321799307959;0.942560553633218;0.9381221903785141;0.0036386469580527146;0.9006324310650139;0.7955150740385639;0.8917665525114156;0.901336898395722;0.8595161614133708;0.8697534234848172;0.0401291437968735;4;0.9153580327055072;0.9247090934749698;0.9334262994344831;0.9196631191184144;0.9339783311523362;0.9254269751771422;0.00737883284659181;0.9207203983826536;0.8517322388745914;0.9242745133381399;0.9073740500985084;0.8973784591975825;0.9002959319782953;0.02611196998831792;7;0.9314050545971049;0.9359229777300353;0.9410968626386871;0.9350769239670726;0.9417931138911979;0.9370589865648196;0.0038962145639046923
6;0.4032022953033447;0.04307777549564008;0.0;0.0;5;l1;{'lr__C': 5, 'lr__penalty': 'l1'};-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;8;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;8;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;8;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;8;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;8;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;8;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;8;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0
7;0.45874781608581544;0.055294750569893414;0.10869908332824707;0.0024210186833200373;5;l2;{'lr__C': 5, 'lr__penalty': 'l2'};0.9226519337016574;0.8614958448753463;0.925207756232687;0.9113573407202216;0.9058171745152355;0.9053060100090295;0.0230354988357993;2;0.9349030470914127;0.9418685121107266;0.942560553633218;0.9404844290657439;0.9460207612456747;0.9411674606293552;0.0036248066778949268;0.878639846743295;0.7784732449680902;0.8858357637302786;0.8516692347200823;0.8540477549467276;0.8497331690216947;0.03805084529891859;2;0.8972677595628415;0.9086945532667763;0.9096630791004496;0.9072473503507987;0.9152163708905778;0.9076178226342888;0.005836804155807066;0.9206330306301729;0.8569878304007441;0.9246506053953887;0.9061444056983753;0.904372446527277;0.9025576637303916;0.024114662859809136;1;0.9332667302423445;0.9404973725947885;0.9411646745532726;0.9393316980120464;0.9447475602665892;0.9398016071338082;0.003734432361890247;0.8608339029391661;0.762719298245614;0.8802631578947369;0.8184210526315789;0.843859649122807;0.8332194121667806;0.0406894243337153;2;0.8791666666666667;0.8911130284728215;0.8915516249640495;0.8926373310324993;0.8973468507333908;0.8903631003738856;0.006021295621170154;0.9226519337016574;0.8614958448753463;0.925207756232687;0.9113573407202216;0.9058171745152355;0.9053060100090295;0.0230354988357993;2;0.9349030470914127;0.9418685121107266;0.942560553633218;0.9404844290657439;0.9460207612456747;0.9411674606293552;0.0036248066778949268;0.9006324310650139;0.7993739478114479;0.8917665525114156;0.9038056206088994;0.8656357388316152;0.8722428581656786;0.03882494709711035;3;0.9193548387096775;0.9298801304908582;0.9316010220773786;0.9243045843045843;0.9367318488733783;0.9283744848911754;0.0060073480278899066;0.9207203983826536;0.8550970228601809;0.9242745133381399;0.9101442129914952;0.9036353771025503;0.902774304935004;0.02494995570132804;3;0.9336073630596016;0.94091684344851;0.9416683585450639;0.9393997467353868;0.9452833834167823;0.940175139041069;0.0038107979502352645
8;0.39187121391296387;0.026440691039315282;0.0;0.0;7;l1;{'lr__C': 7, 'lr__penalty': 'l1'};-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;8;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;8;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;8;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;8;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;8;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;8;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;8;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0
9;0.482623815536499;0.07184776399041036;0.12050728797912598;0.015972180496429546;7;l2;{'lr__C': 7, 'lr__penalty': 'l2'};0.9226519337016574;0.8642659279778393;0.9224376731301939;0.9113573407202216;0.9030470914127424;0.904751993388531;0.02153531949006691;4;0.9397506925207756;0.9453287197231834;0.9453287197231834;0.9487889273356401;0.9487889273356401;0.9455971973276845;0.003307568889465952;0.8798881357538987;0.7863569936108796;0.8821911421911421;0.8516692347200823;0.8505175983436852;0.8501246209239376;0.03459184631493995;1;0.9052932728732487;0.9146867612955685;0.91446507233248;0.9201895805344081;0.9201895805344081;0.9149648535140227;0.0054490757652555216;0.921068089333222;0.8610495040819558;0.9220561894246104;0.9061444056983753;0.9018197668083251;0.9024275910692978;0.0221769262657057;2;0.9383660660136994;0.9442318366847814;0.9441553322071775;0.9477970424754819;0.9477970424754819;0.9444694639713245;0.0034511496497358317;0.8655730234677603;0.7741228070175439;0.8785087719298246;0.8184210526315789;0.8421052631578947;0.8357461836409203;0.03703057637813066;1;0.8882675438596491;0.8993097497842968;0.8981090020132299;0.9051049755536382;0.9051049755536382;0.8991792493528905;0.006171810731290099;0.9226519337016574;0.8642659279778393;0.9224376731301939;0.9113573407202216;0.9030470914127424;0.904751993388531;0.02153531949006691;4;0.9397506925207756;0.9453287197231834;0.9453287197231834;0.9487889273356401;0.9487889273356401;0.9455971973276845;0.003307568889465952;0.8968195083345699;0.80142654076556;0.8860297579809775;0.9038056206088994;0.8598834385624089;0.8695929732504831;0.037209931270598906;5;0.9257154156450209;0.932720178024896;0.9338501705029838;0.9377777777777778;0.9377777777777778;0.9335682639456913;0.004425064087095077;0.9208067604611513;0.8592830690799494;0.9217539564137767;0.9101442129914952;0.9010761483602157;0.9026128294613176;0.02295191986579231;4;0.9386662892301545;0.9444572263170588;0.9444878936981742;0.9480507497116494;0.9480507497116494;0.9447425817337372;0.0034338193032991456
10;0.4032591342926025;0.01718505897650386;0.0;0.0;9;l1;{'lr__C': 9, 'lr__penalty': 'l1'};-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;8;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;8;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;8;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;8;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;8;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;8;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;8;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0
