PipelineID;Pipeline;Input;F1 score;Precision;Recall;Pickle file name;Datetime;Sklearn version;Validation set
1_Computer Vision;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f7fce254700>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];data/readme_train.csv;0.6704342325990704 macro;0.6702244116037219 macro;0.6723182624113475 macro;;23_02_2022_08_32_46;1.0;data/readme_test.csv
2_Computer Vision;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f7fce254700>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];data/readme_train.csv;0.7061244292257 macro;0.7068768792130883 macro;0.7099623226950356 macro;;23_02_2022_08_35_04;1.0;data/readme_test.csv
3_Computer Vision;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f7fce254700>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];data/readme_train.csv;0.6749041523946879 macro;0.6749040179212107 macro;0.6772606382978723 macro;;23_02_2022_08_45_35;1.0;data/readme_test.csv
4_Computer Vision;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f7fce254700>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];data/readme_train.csv;0.6842715017092288 macro;0.6861290503121216 macro;0.6888741134751772 macro;;23_02_2022_08_57_30;1.0;data/readme_test.csv
5_Computer Vision;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f7fce254700>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomualnb', MultinomialNB())];data/readme_train.csv;0.7370546029845642 macro;0.7390343601653089 macro;0.7425199468085106 macro;;23_02_2022_08_59_53;1.0;data/readme_test.csv
6_Computer Vision;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f7fce254700>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomialnb', MultinomialNB())];data/readme_train.csv;0.7086001446786665 macro;0.708627708111357 macro;0.7115580673758866 macro;;23_02_2022_09_01_51;1.0;data/readme_test.csv
