PipelineID;Pipeline;Input;F1 score;Precision;Recall;Pickle file name;Datetime;Sklearn version;Validation set
1_Reinforcement Learning;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f7fce254700>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];data/readme_train.csv;0.7573371887237929 macro;0.6981014571618598 macro;0.9223906765676568 macro;;23_02_2022_08_34_02;1.0;data/readme_test.csv
2_Reinforcement Learning;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f7fce254700>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];data/readme_train.csv;0.8317222861526659 macro;0.7692141623488773 macro;0.9501340759075907 macro;;23_02_2022_08_36_00;1.0;data/readme_test.csv
3_Reinforcement Learning;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f7fce254700>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];data/readme_train.csv;0.7757703933013781 macro;0.7119989924463827 macro;0.9502887788778878 macro;;23_02_2022_08_47_10;1.0;data/readme_test.csv
4_Reinforcement Learning;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f7fce254700>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];data/readme_train.csv;0.7966060689845856 macro;0.7315079365079366 macro;0.9512685643564356 macro;;23_02_2022_08_58_52;1.0;data/readme_test.csv
5_Reinforcement Learning;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f7fce254700>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomualnb', MultinomialNB())];data/readme_train.csv;0.8224501541389587 macro;0.7561765788561401 macro;0.9620462046204621 macro;;23_02_2022_09_00_52;1.0;data/readme_test.csv
6_Reinforcement Learning;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f7fce254700>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomialnb', MultinomialNB())];data/readme_train.csv;0.7990610328638498 macro;0.7325115722681645 macro;0.9610664191419143 macro;;23_02_2022_09_02_50;1.0;data/readme_test.csv
