;PipelineID;Pipeline;Train dataset;Validation dataset;fit_time_cv1;fit_time_cv2;fit_time_cv3;fit_time_cv4;fit_time_cv5;fit_time_mean;score_time_cv1;score_time_cv2;score_time_cv3;score_time_cv4;score_time_cv5;score_time_mean;test_acc_cv1;test_acc_cv2;test_acc_cv3;test_acc_cv4;test_acc_cv5;test_acc_mean;test_prec_cv1;test_prec_cv2;test_prec_cv3;test_prec_cv4;test_prec_cv5;test_prec_mean;test_recall_cv1;test_recall_cv2;test_recall_cv3;test_recall_cv4;test_recall_cv5;test_recall_mean;test_f1-score_cv1;test_f1-score_cv2;test_f1-score_cv3;test_f1-score_cv4;test_f1-score_cv5;test_f1-score_mean;test_tp_cv1;test_tp_cv2;test_tp_cv3;test_tp_cv4;test_tp_cv5;test_tp_mean;test_tn_cv1;test_tn_cv2;test_tn_cv3;test_tn_cv4;test_tn_cv5;test_tn_mean;test_fp_cv1;test_fp_cv2;test_fp_cv3;test_fp_cv4;test_fp_cv5;test_fp_mean;test_fn_cv1;test_fn_cv2;test_fn_cv3;test_fn_cv4;test_fn_cv5;test_fn_mean;acc_overall;prec_overall;recall_overall;f1-score_overall;tp_overall;tn_overall;fp_overall;fn_overall;preprocessing
0;1_Audio;SVC_Count_Vectors_RandomUnder;abstracts.csv;readme.csv;0.08182048797607422;0.07891607284545898;0.09079170227050781;0.09691214561462402;0.0919797420501709;0.08808403015136719;0.004840850830078125;0.006009101867675781;0.0055387020111083984;0.004793882369995117;0.004084587097167969;0.005053424835205078;1.0;0.991304347826087;0.9824561403508771;0.9824561403508771;1.0;0.9912433257055682;1.0;0.9830508474576272;0.9661016949152542;0.9661016949152542;1.0;0.9830508474576272;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9914529914529915;0.9827586206896551;0.9827586206896551;1.0;0.9913940465664604;57;58;57;57;57;57.2;58;56;55;55;57;56.2;0;1;2;2;0;1.0;0;0;0;0;0;0.0;0.8253968253968254;0.847457627118644;0.7936507936507936;0.819672131147541;100;108;18;26;Preprocessed
0;1_Computer Vision;SVC_TFIDF_RandomUnder;abstracts.csv;readme.csv;0.23874902725219727;0.3202340602874756;0.3187072277069092;0.24056529998779297;0.24216032028198242;0.2720831871032715;0.009081125259399414;0.006113529205322266;0.006105184555053711;0.009318828582763672;0.008973836898803711;0.007918500900268554;0.9975339087546239;0.9977394163584052;0.9950678175092479;0.99568345323741;0.9965056526207605;0.9965060496960895;0.996309963099631;0.9967186218211649;0.9930413426115432;0.9967037494849609;0.9967105263157895;0.995896840666618;0.998766954377312;0.998766954377312;0.9971228935470613;0.9946546052631579;0.9963008631319359;0.9971224541393559;0.997536945812808;0.99774173680969;0.9950779327317474;0.9956781230705906;0.9965056526207606;0.9965080782091192;2430;2430;2426;2419;2424;2425.8;2424;2425;2416;2425;2424;2422.8;9;8;17;8;8;10.0;3;3;7;13;9;7.0;0.6742948376796168;0.6352188274153592;0.8187865886109633;0.7154150197628459;3077;1991;1767;681;Preprocessed
0;1_Graphs;SVC_TFIDF_RandomUnder;abstracts.csv;readme.csv;0.0025272369384765625;0.0029172897338867188;0.0018749237060546875;0.0028395652770996094;0.0019309520721435547;0.0024179935455322264;0.006996631622314453;0.006728172302246094;0.003868579864501953;0.005658388137817383;0.0044405460357666016;0.005538463592529297;0.9931506849315068;0.993103448275862;1.0;0.9862068965517241;0.993103448275862;0.993112895606991;1.0;1.0;1.0;1.0;1.0;1.0;0.9863013698630136;0.9861111111111112;1.0;0.9726027397260274;0.9863013698630136;0.986263318112633;0.993103448275862;0.993006993006993;1.0;0.9861111111111112;0.993103448275862;0.9930650001339657;72;71;72;71;72;71.6;73;73;73;72;72;72.6;0;0;0;0;0;0.0;1;1;0;2;1;1.0;0.9088050314465409;0.891566265060241;0.9308176100628931;0.9107692307692308;148;141;18;11;Preprocessed
0;1_Natural Language Processing;SGDClassifier_TFIDF_RandomUnder;abstracts.csv;readme.csv;0.02498149871826172;0.06775236129760742;0.0660398006439209;0.02432107925415039;0.02359938621520996;0.04133882522583008;0.006232738494873047;0.005016803741455078;0.004835367202758789;0.005143880844116211;0.00503849983215332;0.005253458023071289;0.9870466321243523;0.9870298313878081;0.9922178988326849;0.993514915693904;0.9896238651102465;0.9898866286297991;0.9771573604060914;0.9746835443037974;0.9896640826873385;0.9922480620155039;0.9871134020618557;0.9841732902949174;0.9974093264248705;1.0;0.9948051948051948;0.9948186528497409;0.9922279792746114;0.9958522306708835;0.9871794871794872;0.9871794871794872;0.9922279792746115;0.9935316946959897;0.9896640826873385;0.9899565462033827;385;385;383;384;383;384.0;377;376;382;382;380;379.4;9;10;4;3;5;6.2;1;0;2;2;3;1.6;0.8355555555555556;0.7780847145488029;0.9388888888888889;0.8509566968781471;845;659;241;55;Preprocessed
0;1_Reinforcement Learning;SVC_Count_Vectors_RandomUnder;abstracts.csv;readme.csv;0.23067903518676758;0.2957286834716797;0.33344101905822754;0.23910737037658691;0.22089695930480957;0.26397061347961426;0.005033969879150391;0.006372213363647461;0.003905057907104492;0.006065845489501953;0.006685972213745117;0.005612611770629883;0.9939393939393939;0.9959595959595959;0.997979797979798;0.9959595959595959;0.9959514170040485;0.9959579601684865;0.9959349593495935;0.9959514170040485;1.0;1.0;1.0;0.9983772752707285;0.9919028340080972;0.9959514170040485;0.9959677419354839;0.9919354838709677;0.9919028340080972;0.993532062165339;0.9939148073022313;0.9959514170040485;0.997979797979798;0.9959514170040485;0.9959349593495934;0.9959464797279439;245;246;247;246;245;245.8;247;247;247;247;247;247.0;1;1;0;0;0;0.4;2;1;1;2;2;1.6;0.9052083333333333;0.9598108747044918;0.8458333333333333;0.8992248062015503;406;463;17;74;Preprocessed
0;1_Sequential;SVC_Count_Vectors_RandomUnder;abstracts.csv;readme.csv;0.09906387329101562;0.15179657936096191;0.1465902328491211;0.15183711051940918;0.14253783226013184;0.13836512565612794;0.0049135684967041016;0.0058209896087646484;0.005842924118041992;0.005194187164306641;0.00603032112121582;0.005560398101806641;0.9725274725274725;0.989010989010989;0.978021978021978;0.988950276243094;0.994475138121547;0.9845971707850161;0.967391304347826;0.989010989010989;0.978021978021978;1.0;1.0;0.9868848542761587;0.978021978021978;0.989010989010989;0.978021978021978;0.9777777777777777;0.989010989010989;0.9823687423687424;0.9726775956284153;0.989010989010989;0.978021978021978;0.9887640449438202;0.994475138121547;0.9845899491453498;89;90;89;88;90;89.2;88;90;89;91;90;89.6;3;1;2;0;0;1.2;2;1;2;2;1;1.6;0.6814159292035398;0.8014705882352942;0.4823008849557522;0.6022099447513811;109;199;27;117;Preprocessed
0;1_Audio;RandomForestClassifier_Count_Vectors_RandomUnder;abstracts.csv;readme.csv;0.2732100486755371;0.2528998851776123;0.2491164207458496;0.24475646018981934;0.2643775939941406;0.2568720817565918;0.021512508392333984;0.030141353607177734;0.03132033348083496;0.0338129997253418;0.02314925193786621;0.027987289428710937;0.991304347826087;0.9826086956521739;0.9824561403508771;0.9824561403508771;0.9824561403508771;0.9842562929061784;0.9827586206896551;0.9827586206896551;0.9661016949152542;0.9661016949152542;0.9824561403508771;0.9760353543121392;1.0;0.9827586206896551;1.0;1.0;0.9824561403508771;0.9930429522081065;0.9913043478260869;0.9827586206896551;0.9827586206896551;0.9827586206896551;0.9824561403508771;0.9844072700491859;57;57;57;57;56;56.8;57;56;55;55;56;55.8;1;1;2;2;1;1.4;0;1;0;0;1;0.4;0.8134920634920635;0.7337278106508875;0.9841269841269841;0.840677966101695;124;81;45;2;Common words
0;1_Computer Vision;RandomForestClassifier_Count_Vectors_RandomUnder;abstracts.csv;readme.csv;3.347484588623047;3.6467859745025635;1.76985502243042;3.376094102859497;3.494758367538452;3.1269956111907957;0.27339625358581543;0.09705591201782227;0.030665159225463867;0.2690565586090088;0.16937565803527832;0.16790990829467772;0.979449239621866;0.979449239621866;0.9808877928483354;0.9763617677286742;0.9767728674203494;0.9785841814482182;0.9932346723044397;0.9907446360959192;0.9932546374367622;0.9931885908897403;0.9936170212765958;0.9928079116006915;0.9654747225647349;0.967940813810111;0.9683518290176737;0.9592927631578947;0.9597205096588574;0.9641561276418544;0.9791579824927054;0.9792099792099792;0.9806451612903225;0.9759464547165866;0.97637466025507;0.9782668475929327;2349;2355;2356;2333;2335;2345.6;2417;2411;2417;2417;2417;2415.8;16;22;16;16;15;17.0;84;78;77;99;98;87.2;0.6286588610963278;0.5931419764977847;0.819318786588611;0.6881215778299252;3079;1646;2112;679;Common words
0;1_Graphs;RandomForestClassifier_Count_Vectors_RandomUnder;abstracts.csv;readme.csv;0.2647526264190674;0.30132508277893066;0.2961907386779785;0.2914583683013916;0.2961463928222656;0.28997464179992677;0.03467702865600586;0.024903059005737305;0.025870561599731445;0.027698755264282227;0.025676250457763672;0.0277651309967041;0.9726027397260274;0.9793103448275862;0.9793103448275862;0.9793103448275862;0.9655172413793104;0.9752102031176193;0.96;0.9726027397260274;0.96;0.972972972972973;0.9594594594594594;0.9650070344316919;0.9863013698630136;0.9861111111111112;1.0;0.9863013698630136;0.9726027397260274;0.9862633181126332;0.9729729729729729;0.9793103448275863;0.9795918367346939;0.979591836734694;0.9659863945578231;0.9754906771655539;72;71;72;72;71;71.6;70;71;70;70;69;70.0;3;2;3;2;3;2.6;1;1;0;1;2;1.0;0.8867924528301887;0.847457627118644;0.9433962264150944;0.8928571428571428;150;132;27;9;Common words
0;1_Natural Language Processing;RandomForestClassifier_Count_Vectors_RandomUnder;abstracts.csv;readme.csv;0.5508224964141846;0.5175812244415283;0.5265426635742188;0.5655927658081055;0.5535273551940918;0.5428133010864258;0.05016469955444336;0.0580134391784668;0.048082828521728516;0.03215837478637695;0.03941202163696289;0.0455662727355957;0.9857512953367875;0.9831387808041504;0.9883268482490273;0.9909208819714657;0.9922178988326849;0.9880711410388232;0.979539641943734;0.9769230769230769;0.9870466321243523;0.987146529562982;0.9871794871794872;0.9835670735467265;0.9922279792746114;0.9896103896103896;0.9896103896103896;0.9948186528497409;0.9974093264248705;0.9927353475540004;0.9858429858429858;0.9832258064516128;0.9883268482490273;0.9909677419354838;0.9922680412371134;0.9881262847432446;383;381;381;384;385;382.8;378;377;381;380;380;379.2;8;9;5;5;5;6.4;3;4;4;2;1;2.8;0.835;0.8005982053838484;0.8922222222222222;0.8439306358381502;803;700;200;97;Common words
0;1_Reinforcement Learning;RandomForestClassifier_Count_Vectors_RandomUnder;abstracts.csv;readme.csv;0.3652465343475342;0.3670210838317871;0.40366220474243164;0.40701746940612793;0.3708815574645996;0.3827657699584961;0.04066014289855957;0.04894614219665527;0.027482986450195312;0.024643898010253906;0.04348444938659668;0.037043523788452146;0.9878787878787879;0.9939393939393939;1.0;0.9959595959595959;0.9898785425101214;0.9935312640575799;0.9918367346938776;1.0;1.0;1.0;0.991869918699187;0.9967413306786129;0.9838056680161943;0.9878542510121457;1.0;0.9919354838709677;0.9878542510121457;0.9902899307822907;0.9878048780487805;0.9938900203665988;1.0;0.9959514170040485;0.9898580121703855;0.9935008655179626;243;244;248;246;244;245.0;246;248;247;247;245;246.6;2;0;0;0;2;0.8;4;3;0;2;3;2.4;0.8447916666666667;0.9882005899705014;0.6979166666666666;0.8180708180708179;335;476;4;145;Common words
0;1_Sequential;RandomForestClassifier_TFIDF_RandomUnder;abstracts.csv;readme.csv;0.26126980781555176;0.3045523166656494;0.3234734535217285;0.3136298656463623;0.28436851501464844;0.2974587917327881;0.04024100303649902;0.032041072845458984;0.02097153663635254;0.024745464324951172;0.03734445571899414;0.031068706512451173;0.945054945054945;0.9835164835164835;0.978021978021978;0.9668508287292817;0.9613259668508287;0.9669540404347033;0.9879518072289156;1.0;0.9887640449438202;0.9883720930232558;0.9883720930232558;0.9906920076438495;0.9010989010989011;0.967032967032967;0.967032967032967;0.9444444444444444;0.9340659340659341;0.9427350427350427;0.9425287356321839;0.9832402234636871;0.9777777777777779;0.9659090909090908;0.96045197740113;0.9659815610367739;82;88;88;85;85;85.6;90;91;90;90;89;90.0;1;0;1;1;1;0.8;9;3;3;5;6;5.2;0.5796460176991151;0.9285714285714286;0.17256637168141592;0.291044776119403;39;223;3;187;Common words
0;Audio_Preprocessed_Structures_Random_Undersamples;SVC_TFIDF_RandomUnder;abstracts.csv;readme.csv;0.03268074989318848;0.037107229232788086;0.05376935005187988;0.03677177429199219;0.05329728126525879;0.04272527694702148;0.013808727264404297;0.015097618103027344;0.0171661376953125;0.01767420768737793;0.016439199447631836;0.016037178039550782;0.991304347826087;0.9826086956521739;0.9652173913043478;0.9739130434782609;0.9736842105263158;0.977345537757437;0.9827586206896551;0.9666666666666667;0.9354838709677419;0.9508196721311475;0.9821428571428571;0.9635743375196135;1.0;1.0;1.0;1.0;0.9649122807017544;0.9929824561403509;0.9913043478260869;0.983050847457627;0.9666666666666666;0.9747899159663865;0.9734513274336283;0.9778526210700791;57;58;58;58;55;57.2;57;55;53;54;56;55.0;1;2;4;3;1;2.2;0;0;0;0;2;0.4;0.985862834443276;0.986195601310248;0.9996442547136251;0.9928743890230258;8430;8;118;3;Structured random undersampler, Preprocessed
0;Computer Vision_Preprocessed_Structures_Random_Undersamples;SVC_TFIDF_RandomUnder;abstracts.csv;readme.csv;0.21863722801208496;0.2057476043701172;0.27695250511169434;0.2684013843536377;0.1958460807800293;0.2331169605255127;0.007363557815551758;0.008783817291259766;0.007376432418823242;0.00695347785949707;0.00849771499633789;0.007795000076293945;0.9735279564571994;0.9893617021276596;0.9970311726867888;0.9967837704106878;0.991588322612568;0.9896585848589808;0.9975186104218362;0.9960815047021944;0.9946605644546148;0.9931506849315068;0.9922779922779923;0.9947378713576288;0.9206106870229007;0.970970206264324;0.9961802902979373;0.9969442322383499;0.9816653934300993;0.9732741618507224;0.9575228265184597;0.9833655705996133;0.9954198473282443;0.995043842927945;0.9869431643625193;0.9836590503473562;1206;1271;1304;1305;1285;1274.2;2729;2728;2726;2724;2723;2726.0;3;5;7;9;10;6.8;104;38;5;4;24;35.0;0.708844491178876;0.7179535586180857;0.7921266402832743;0.753218459100812;3803;2264;1494;998;Structured random undersampler, Preprocessed
0;General_Preprocessed_Structures_Random_Undersamples;SVC_Count_Vectors_RandomUnder;abstracts.csv;readme.csv;1.9993093013763428;2.533052921295166;2.5088069438934326;2.0888683795928955;2.0876400470733643;2.2435355186462402;0.010756492614746094;0.005983114242553711;0.006439208984375;0.011597156524658203;0.011529684066772461;0.009261131286621094;0.9724164724164724;0.8873348873348873;0.9817404817404818;0.9891219891219891;0.9261849261849262;0.9513597513597514;0.9904458598726115;0.984869325997249;0.991701244813278;0.981094527363184;0.9797136038186157;0.9855649123729876;0.9376884422110553;0.7195979899497488;0.9608040201005025;0.9909547738693467;0.8259557344064387;0.8870001921074184;0.963345379452762;0.8315911730545877;0.9760081674323634;0.986;0.8962882096069869;0.93064658590934;933;716;956;986;821;882.4;1570;1568;1571;1560;1563;1566.4;9;11;8;19;17;12.8;62;279;39;9;173;112.4;0.5888538380651945;0.7215058236272879;0.6140909895556735;0.663479009276083;3469;1571;1339;2180;Structured random undersampler, Preprocessed
0;Graphs_Preprocessed_Structures_Random_Undersamples;SVC_TFIDF_RandomUnder;abstracts.csv;readme.csv;0.0057790279388427734;0.0041277408599853516;0.00491642951965332;0.005405902862548828;0.006388425827026367;0.0053235054016113285;0.0042231082916259766;0.0041654109954833984;0.005494356155395508;0.003774881362915039;0.003328084945678711;0.004197168350219727;0.9863013698630136;1.0;0.9931506849315068;1.0;0.9862068965517241;0.9931317902692488;0.9736842105263158;1.0;0.9864864864864865;1.0;0.9733333333333334;0.986700806069227;1.0;1.0;1.0;1.0;1.0;1.0;0.9866666666666666;1.0;0.9931972789115647;1.0;0.9864864864864865;0.9932700864129436;74;73;73;73;73;73.2;70;73;72;73;70;71.6;2;0;1;0;2;1.0;0;0;0;0;0;0.0;0.990769949760486;0.9946498632742837;0.9959523809523809;0.995300695972875;8366;114;45;34;Structured random undersampler, Preprocessed
0;Natural Language Processing_Preprocessed_Structures_Random_Undersamples;SVC_TFIDF_RandomUnder;abstracts.csv;readme.csv;0.5882456302642822;0.818655252456665;0.8437700271606445;0.6494622230529785;0.5985486507415771;0.6997363567352295;0.23119020462036133;0.17153620719909668;0.16585636138916016;0.2340378761291504;0.2245650291442871;0.20543713569641114;0.9830065359477124;0.9869281045751634;0.9816993464052287;0.9882352941176471;0.9672774869109948;0.9814293535913492;0.9741602067183462;0.9817232375979112;0.9715762273901809;0.9768041237113402;0.9732620320855615;0.9755051655006681;0.9921052631578947;0.9920844327176781;0.9920844327176781;1.0;0.9604221635883905;0.9873392584363282;0.9830508474576272;0.9868766404199475;0.9817232375979112;0.9882659713168187;0.9667994687915006;0.981343233116761;377;376;376;379;364;374.4;375;379;375;377;375;376.2;10;7;11;9;10;9.4;3;3;3;0;15;4.8;0.9157611870545624;0.9478440485411825;0.9586107846977412;0.9531970139565077;7342;496;404;317;Structured random undersampler, Preprocessed
