;PipelineID;Pipeline;train_set;validation_set;fit_time_cv1;fit_time_cv2;fit_time_cv3;fit_time_cv4;fit_time_cv5;fit_time_mean;score_time_cv1;score_time_cv2;score_time_cv3;score_time_cv4;score_time_cv5;score_time_mean;test_acc_cv1;test_acc_cv2;test_acc_cv3;test_acc_cv4;test_acc_cv5;test_acc_mean;test_prec_cv1;test_prec_cv2;test_prec_cv3;test_prec_cv4;test_prec_cv5;test_prec_mean;test_recall_cv1;test_recall_cv2;test_recall_cv3;test_recall_cv4;test_recall_cv5;test_recall_mean;test_f1-score_cv1;test_f1-score_cv2;test_f1-score_cv3;test_f1-score_cv4;test_f1-score_cv5;test_f1-score_mean;test_tp_cv1;test_tp_cv2;test_tp_cv3;test_tp_cv4;test_tp_cv5;test_tp_mean;test_tn_cv1;test_tn_cv2;test_tn_cv3;test_tn_cv4;test_tn_cv5;test_tn_mean;test_fp_cv1;test_fp_cv2;test_fp_cv3;test_fp_cv4;test_fp_cv5;test_fp_mean;test_fn_cv1;test_fn_cv2;test_fn_cv3;test_fn_cv4;test_fn_cv5;test_fn_mean
0;Natural Language Processing;LR_Count_Vectors_RandomUnder;data/readme_negative_samples_preprocessed_train.csv;data/readme_negative_samples_preprocessed_test.csv;0.5985972881317139;0.4306514263153076;0.23735499382019043;0.5136411190032959;0.4468855857849121;0.44542608261108396;0.020403146743774414;0.024995803833007812;0.18471431732177734;0.07966732978820801;0.027873754501342773;0.06753087043762207;0.9;0.9133333333333333;0.8866666666666667;0.8791946308724832;0.7583892617449665;0.86751677852349;0.9066666666666666;0.9090909090909091;0.9285714285714286;0.9027777777777778;0.6851851851851852;0.8664583934583934;0.8947368421052632;0.9210526315789473;0.8441558441558441;0.8552631578947368;0.9736842105263158;0.8977785372522215;0.9006622516556291;0.915032679738562;0.8843537414965986;0.8783783783783783;0.8043478260869565;0.876554975471225;67;67;68;66;39;61.4;68;70;65;65;74;68.4;8;6;12;11;2;7.8;7;7;5;7;34;12.0
0;Natural Language Processing;LR_TFIDF_RandomUnder;data/readme_negative_samples_preprocessed_train.csv;data/readme_negative_samples_preprocessed_test.csv;0.34176135063171387;0.3761725425720215;0.18542885780334473;0.5109035968780518;0.6316447257995605;0.4091822147369385;0.022823572158813477;0.02591562271118164;0.18393611907958984;0.17870068550109863;0.05128788948059082;0.09253277778625488;0.7;0.8;0.8266666666666667;0.8456375838926175;0.697986577181208;0.7740581655480984;0.691358024691358;0.8194444444444444;0.9047619047619048;0.9206349206349206;0.6823529411764706;0.8037104471418196;0.7368421052631579;0.7763157894736842;0.7402597402597403;0.7631578947368421;0.7631578947368421;0.7559466848940533;0.7133757961783439;0.7972972972972973;0.8142857142857143;0.8345323741007195;0.7204968944099379;0.7759976152544026;49;61;67;68;46;58.2;56;59;57;58;58;57.6;20;17;20;18;18;18.6;25;13;6;5;27;15.2
0;Natural Language Processing;SVC_Count_Vectors_RandomUnder;data/readme_negative_samples_preprocessed_train.csv;data/readme_negative_samples_preprocessed_test.csv;3.014704704284668;2.304412841796875;2.291379928588867;2.125869035720825;2.315885543823242;2.4104504108428957;0.09034609794616699;0.10451698303222656;0.31954121589660645;0.19863200187683105;0.10347294807434082;0.16330184936523437;0.5466666666666666;0.6;0.78;0.6845637583892618;0.5704697986577181;0.6363400447427292;0.5294117647058824;0.5615384615384615;0.7682926829268293;0.6330275229357798;0.546875;0.6078290864213907;0.9473684210526315;0.9605263157894737;0.8181818181818182;0.9078947368421053;0.9210526315789473;0.9110047846889952;0.679245283018868;0.7087378640776699;0.7924528301886793;0.745945945945946;0.6862745098039216;0.7225312866070169;10;17;54;33;15;25.8;72;73;63;69;70;69.4;4;3;14;7;6;6.8;64;57;19;40;58;47.6
0;Natural Language Processing;SVC_TFIDF_RandomUnder;data/readme_negative_samples_preprocessed_train.csv;data/readme_negative_samples_preprocessed_test.csv;3.0521507263183594;2.463521718978882;1.8067195415496826;2.1501078605651855;2.9927382469177246;2.4930476188659667;0.09520077705383301;0.10713338851928711;0.2966434955596924;0.18122410774230957;0.09737443923950195;0.1555152416229248;0.78;0.7533333333333333;0.74;0.7651006711409396;0.6845637583892618;0.7445995525727069;0.9387755102040817;0.8545454545454545;0.975;1.0;0.7301587301587301;0.8996959389816533;0.6052631578947368;0.618421052631579;0.5064935064935064;0.5394736842105263;0.6052631578947368;0.5749829118250172;0.736;0.7175572519083969;0.6666666666666666;0.7008547008547009;0.6618705035971223;0.6965898246053773;71;66;72;73;56;67.6;46;47;39;41;46;43.8;30;29;38;35;30;32.4;3;8;1;0;17;5.8
0;Natural Language Processing;KNN_Count_Vectors_RandomUnder;data/readme_negative_samples_preprocessed_train.csv;data/readme_negative_samples_preprocessed_test.csv;0.39153027534484863;0.581744909286499;0.33872175216674805;0.47560811042785645;0.5273816585540771;0.4629973411560059;0.04525947570800781;0.045714616775512695;0.2850518226623535;0.11675906181335449;0.04716086387634277;0.10798916816711426;0.78;0.8466666666666667;0.8466666666666667;0.8859060402684564;0.697986577181208;0.8114451901565995;0.9574468085106383;0.9344262295081968;0.95;0.9402985074626866;0.7384615384615385;0.904126616788612;0.5921052631578947;0.75;0.7402597402597403;0.8289473684210527;0.631578947368421;0.7085782638414218;0.7317073170731707;0.832116788321168;0.8321167883211679;0.8811188811188811;0.6808510638297872;0.791582167732835;72;70;70;69;56;67.4;45;57;57;63;48;54.0;31;19;20;13;28;22.2;2;4;3;4;17;6.0
0;Natural Language Processing;KNN_TFIDF_RandomUnder;data/readme_negative_samples_preprocessed_train.csv;data/readme_negative_samples_preprocessed_test.csv;0.4596719741821289;0.4591245651245117;0.3379476070404053;0.34819793701171875;0.6045429706573486;0.44189701080322263;0.06110811233520508;0.11401534080505371;0.3187520503997803;0.12154126167297363;0.04964399337768555;0.13301215171813965;0.7866666666666666;0.9333333333333333;0.9666666666666667;0.959731543624161;0.697986577181208;0.8688769574944072;0.7156862745098039;0.9125;0.9615384615384616;0.9861111111111112;0.6324786324786325;0.8416628959276018;0.9605263157894737;0.9605263157894737;0.974025974025974;0.9342105263157895;0.9736842105263158;0.9605946684894053;0.8202247191011237;0.935897435897436;0.967741935483871;0.9594594594594595;0.7668393782383419;0.8900325856360464;45;67;70;72;30;56.8;73;73;75;71;74;73.2;3;3;2;5;2;3.0;29;7;3;1;43;16.6
0;Natural Language Processing;RandomForestClassifier_Count_Vectors_RandomUnder;data/readme_negative_samples_preprocessed_train.csv;data/readme_negative_samples_preprocessed_test.csv;0.8957903385162354;0.8963170051574707;0.4309852123260498;0.6325783729553223;0.7728590965270996;0.7257060050964356;0.039343833923339844;0.037229299545288086;0.3249192237854004;0.18135547637939453;0.06534194946289062;0.1296379566192627;0.8066666666666666;0.8933333333333333;0.9533333333333334;0.9731543624161074;0.738255033557047;0.8729485458612976;0.7582417582417582;0.8571428571428571;0.9487179487179487;0.9864864864864865;0.6697247706422018;0.8440627642462504;0.9078947368421053;0.9473684210526315;0.961038961038961;0.9605263157894737;0.9605263157894737;0.9474709501025289;0.8263473053892216;0.9;0.9548387096774195;0.9733333333333333;0.7891891891891892;0.8887417075178327;52;62;69;72;37;58.4;69;72;74;73;73;72.2;7;4;3;3;3;4.0;22;12;4;1;36;15.0
0;Natural Language Processing;RandomForestClassifier_TFIDF_RandomUnder;data/readme_negative_samples_preprocessed_train.csv;data/readme_negative_samples_preprocessed_test.csv;0.7086446285247803;0.6770687103271484;0.38811159133911133;0.7856235504150391;0.8292763233184814;0.6777449607849121;0.05127072334289551;0.06082296371459961;0.31671738624572754;0.11486291885375977;0.042368173599243164;0.11720843315124511;0.8333333333333334;0.9133333333333333;0.9533333333333334;0.959731543624161;0.7046979865771812;0.8728859060402684;0.8;0.8888888888888888;0.9605263157894737;0.9605263157894737;0.6454545454545455;0.8510792131844763;0.8947368421052632;0.9473684210526315;0.948051948051948;0.9605263157894737;0.9342105263157895;0.9369788106630212;0.84472049689441;0.9171974522292994;0.9542483660130718;0.9605263157894737;0.7634408602150539;0.8880266982282616;57;65;70;70;34;59.2;68;72;73;73;71;71.4;8;4;4;3;5;4.8;17;9;3;3;39;14.2
0;Natural Language Processing;Linear_SVC_Count_Vectors_RandomUnder;data/readme_negative_samples_preprocessed_train.csv;data/readme_negative_samples_preprocessed_test.csv;0.6648023128509521;0.5093774795532227;0.4799647331237793;0.47555971145629883;0.6709129810333252;0.5601234436035156;0.022866010665893555;0.02838754653930664;0.21447253227233887;0.09787154197692871;0.027235031127929688;0.0781665325164795;0.8666666666666667;0.8933333333333333;0.8066666666666666;0.8791946308724832;0.7516778523489933;0.8395078299776285;0.9117647058823529;0.9285714285714286;0.8333333333333334;0.9393939393939394;0.7349397590361446;0.8696006332434398;0.8157894736842105;0.8552631578947368;0.7792207792207793;0.8157894736842105;0.8026315789473685;0.8137388926862611;0.861111111111111;0.8904109589041096;0.8053691275167787;0.8732394366197183;0.7672955974842768;0.839485246327199;68;69;61;69;51;63.6;62;65;60;62;61;62.0;14;11;17;14;15;14.2;6;5;12;4;22;9.8
0;Natural Language Processing;Linear_SVC_TFIDF_RandomUnder;data/readme_negative_samples_preprocessed_train.csv;data/readme_negative_samples_preprocessed_test.csv;0.5581283569335938;0.5277621746063232;0.2893679141998291;0.6280107498168945;0.6820878982543945;0.537071418762207;0.02889418601989746;0.02979302406311035;0.29531240463256836;0.09161567687988281;0.02746748924255371;0.09461655616760253;0.9333333333333333;0.94;0.9466666666666667;0.9194630872483222;0.738255033557047;0.8955436241610737;0.9459459459459459;0.9466666666666667;0.9859154929577465;1.0;0.6796116504854369;0.9116279512111591;0.9210526315789473;0.9342105263157895;0.9090909090909091;0.8421052631578947;0.9210526315789473;0.9055023923444976;0.9333333333333332;0.9403973509933775;0.9459459459459459;0.9142857142857143;0.7821229050279329;0.9032170499172608;70;70;72;73;40;65.0;70;71;70;64;70;69.0;6;5;7;12;6;7.2;4;4;1;0;33;8.4
