;PipelineID;Pipeline;Train dataset;Validation dataset;fit_time_cv1;fit_time_cv2;fit_time_cv3;fit_time_cv4;fit_time_cv5;fit_time_mean;score_time_cv1;score_time_cv2;score_time_cv3;score_time_cv4;score_time_cv5;score_time_mean;test_acc_cv1;test_acc_cv2;test_acc_cv3;test_acc_cv4;test_acc_cv5;test_acc_mean;test_prec_cv1;test_prec_cv2;test_prec_cv3;test_prec_cv4;test_prec_cv5;test_prec_mean;test_recall_cv1;test_recall_cv2;test_recall_cv3;test_recall_cv4;test_recall_cv5;test_recall_mean;test_f1-score_cv1;test_f1-score_cv2;test_f1-score_cv3;test_f1-score_cv4;test_f1-score_cv5;test_f1-score_mean;test_tp_cv1;test_tp_cv2;test_tp_cv3;test_tp_cv4;test_tp_cv5;test_tp_mean;test_tn_cv1;test_tn_cv2;test_tn_cv3;test_tn_cv4;test_tn_cv5;test_tn_mean;test_fp_cv1;test_fp_cv2;test_fp_cv3;test_fp_cv4;test_fp_cv5;test_fp_mean;test_fn_cv1;test_fn_cv2;test_fn_cv3;test_fn_cv4;test_fn_cv5;test_fn_mean;acc_overall;prec_overall;recall_overall;f1-score_overall;tp_overall;tn_overall;fp_overall;fn_overall;preprocessing
0;1_Audio;SVC_TFIDF_RandomUnder;abstracts.csv;somef_data.csv;0.0032978057861328125;0.003515481948852539;0.0034093856811523438;0.0033648014068603516;0.0034470558166503906;0.0034069061279296876;0.002778291702270508;0.003458738327026367;0.002689361572265625;0.0039196014404296875;0.0025529861450195312;0.003079795837402344;1.0;0.991304347826087;0.9824561403508771;0.9824561403508771;1.0;0.9912433257055682;1.0;0.9830508474576272;0.9661016949152542;0.9661016949152542;1.0;0.9830508474576272;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9914529914529915;0.9827586206896551;0.9827586206896551;1.0;0.9913940465664604;57;58;57;57;57;57.2;58;56;55;55;57;56.2;0;1;2;2;0;1.0;0;0;0;0;0;0.0;0.5476190476190477;0.5252100840336135;0.9920634920634921;0.6868131868131869;125;13;113;1;Preprocessed
0;1_Computer Vision;LR_Count_Vectors_RandomUnder;abstracts.csv;somef_data.csv;0.7233526706695557;0.5937302112579346;0.588444709777832;0.5792837142944336;0.7106106281280518;0.6390843868255616;0.0048673152923583984;0.00546574592590332;0.005681753158569336;0.006141185760498047;0.004941225051879883;0.005419445037841797;0.9971228935470613;0.9977394163584052;0.9973284011508425;0.994655704008222;0.9942446043165467;0.9962182038762155;0.9963069347558473;0.9979440789473685;0.9963084495488105;0.9966969446738233;0.9938398357289527;0.9962192487309605;0.9979449239621866;0.9975339087546239;0.9983559391697493;0.9925986842105263;0.9946568023016852;0.9962180516797543;0.9971252566735113;0.9977389516957862;0.9973311435023609;0.9946435929130614;0.9942481511914545;0.9962174191952349;2428;2427;2429;2414;2420;2423.6;2424;2428;2424;2425;2417;2423.6;9;5;9;8;15;9.2;5;6;4;18;13;9.2;0.5981905268759978;0.5734474522292994;0.7666311868014901;0.6561147802322933;2881;1615;2143;877;
0;1_Graphs;SVC_TFIDF_RandomUnder;abstracts.csv;somef_data.csv;0.004396915435791016;0.004972219467163086;0.005106210708618164;0.004951953887939453;0.003797292709350586;0.004644918441772461;0.005793571472167969;0.005776166915893555;0.004313230514526367;0.00567173957824707;0.003009796142578125;0.004912900924682617;0.9863013698630136;0.993103448275862;0.993103448275862;0.993103448275862;0.9862068965517241;0.9903637222484647;0.9733333333333334;0.9863013698630136;1.0;0.9864864864864865;0.9733333333333334;0.9838909046032333;1.0;1.0;0.9861111111111112;1.0;1.0;0.9972222222222221;0.9864864864864865;0.993103448275862;0.993006993006993;0.9931972789115647;0.9864864864864865;0.9904561386334786;73;72;71;73;73;72.4;71;72;73;71;70;71.4;2;1;0;1;2;1.2;0;0;1;0;0;0.2;0.5849056603773585;0.5467128027681661;0.9937106918238994;0.7053571428571429;158;28;131;1;Preprocessed
0;1_Natural Language Processing;LR_Count_Vectors_RandomUnder;abstracts.csv;somef_data.csv;0.19691014289855957;0.14881300926208496;0.16414141654968262;0.16308331489562988;0.1975541114807129;0.17410039901733398;0.004349946975708008;0.004271268844604492;0.0037546157836914062;0.003650665283203125;0.0023946762084960938;0.003684234619140625;0.9870466321243523;0.9870298313878081;0.9909208819714657;0.9922178988326849;0.9896238651102465;0.9893678218853115;0.9795918367346939;0.9844961240310077;0.9921875;0.9871794871794872;0.9871134020618557;0.9861136700014089;0.9948186528497409;0.9896103896103896;0.9896103896103896;0.9974093264248705;0.9922279792746114;0.9927353475540004;0.987146529562982;0.9870466321243523;0.9908972691807542;0.9922680412371134;0.9896640826873385;0.9894045109585081;384;381;381;385;383;382.8;378;380;383;380;380;380.2;8;6;3;5;5;5.4;2;4;4;1;3;2.8;0.6572222222222223;0.5975189524465886;0.9633333333333334;0.7375584857507443;867;316;584;33;
0;1_Reinforcement Learning;LR_Count_Vectors_RandomUnder;abstracts.csv;somef_data.csv;0.12783193588256836;0.1399059295654297;0.11357307434082031;0.12407112121582031;0.1418778896331787;0.12945199012756348;0.003446340560913086;0.004081010818481445;0.003922224044799805;0.0032508373260498047;0.0025489330291748047;0.003449869155883789;0.9959595959595959;0.997979797979798;0.997979797979798;0.9939393939393939;0.9939271255060729;0.9959571422729319;1.0;1.0;1.0;1.0;1.0;1.0;0.9919028340080972;0.9959514170040485;0.9959677419354839;0.9879032258064516;0.9878542510121457;0.9919158939532455;0.9959349593495934;0.9979716024340771;0.997979797979798;0.9939148073022313;0.9938900203665988;0.9959382374864598;245;246;247;245;244;245.4;248;248;247;247;247;247.4;0;0;0;0;0;0.0;2;1;1;3;3;2.0;0.5645833333333333;0.9696969696969697;0.13333333333333333;0.23443223443223443;64;478;2;416;
0;1_Sequential;SVC_Count_Vectors_RandomUnder;abstracts.csv;somef_data.csv;0.11149144172668457;0.10051798820495605;0.09277606010437012;0.11535811424255371;0.09232497215270996;0.10249371528625488;0.004003286361694336;0.004746913909912109;0.0054705142974853516;0.0046367645263671875;0.005361795425415039;0.004843854904174804;0.9835164835164835;0.989010989010989;0.978021978021978;0.9834254143646409;0.9834254143646409;0.9834800558557465;0.9888888888888889;0.989010989010989;0.978021978021978;0.9887640449438202;1.0;0.9889371801731353;0.978021978021978;0.989010989010989;0.978021978021978;0.9777777777777777;0.967032967032967;0.977973137973138;0.9834254143646408;0.989010989010989;0.978021978021978;0.9832402234636872;0.9832402234636871;0.9833877656649964;89;90;89;88;88;88.8;90;90;89;90;90;89.8;1;1;2;1;0;1.0;2;1;2;2;3;2.0;0.5486725663716814;0.6486486486486487;0.21238938053097345;0.32;48;200;26;178;Preprocessed
0;1_Audio;RandomForestClassifier_Count_Vectors_RandomUnder;abstracts.csv;somef_data.csv;0.15628957748413086;0.18554377555847168;0.1743330955505371;0.14873790740966797;0.17306089401245117;0.16759305000305175;0.021120071411132812;0.012623786926269531;0.015017271041870117;0.019501447677612305;0.01569366455078125;0.016791248321533205;0.991304347826087;0.991304347826087;0.9824561403508771;0.9824561403508771;0.9912280701754386;0.9877498093058733;0.9827586206896551;0.9830508474576272;0.9661016949152542;0.9661016949152542;0.9827586206896551;0.9761542957334892;1.0;1.0;1.0;1.0;1.0;1.0;0.9913043478260869;0.9914529914529915;0.9827586206896551;0.9827586206896551;0.9913043478260869;0.9879157856968952;57;58;57;57;57;57.2;57;56;55;55;56;55.8;1;1;2;2;1;1.4;0;0;0;0;0;0.0;0.6111111111111112;0.5666666666666667;0.9444444444444444;0.7083333333333334;119;35;91;7;Common words
0;1_Computer Vision;RandomForestClassifier_Count_Vectors_RandomUnder;abstracts.csv;somef_data.csv;3.3807003498077393;3.307736873626709;3.2781193256378174;3.2366061210632324;3.3079259395599365;3.302217721939087;0.0541224479675293;0.10754871368408203;0.10050702095031738;0.1314408779144287;0.11161065101623535;0.10104594230651856;0.9784217016029593;0.980682285244554;0.9815043156596794;0.9771839671120247;0.9775950668036999;0.9790774672845834;0.9911392405063291;0.9928360724820902;0.9957680914092255;0.9944610140605028;0.9957337883959044;0.9939876413708104;0.9654747225647349;0.9683518290176737;0.9671187833949856;0.959703947368421;0.9593094944512947;0.9639917553594218;0.9781386633354153;0.9804411152725759;0.9812343619683069;0.9767733835530445;0.9771823320075361;0.9787539712273758;2349;2356;2353;2334;2334;2345.2;2412;2416;2423;2420;2422;2418.6;21;17;10;13;10;14.2;84;77;80;98;99;87.6;0.5565460351250665;0.549315386400557;0.6298563065460351;0.5868352547415396;2367;1816;1942;1391;Common words
0;1_Graphs;RandomForestClassifier_Count_Vectors_RandomUnder;abstracts.csv;somef_data.csv;0.26882195472717285;0.33461999893188477;0.3190174102783203;0.32257628440856934;0.31369471549987793;0.31174607276916505;0.03820967674255371;0.026316165924072266;0.029462337493896484;0.0282437801361084;0.030193328857421875;0.030485057830810548;0.9794520547945206;0.9793103448275862;0.9724137931034482;0.9724137931034482;0.9724137931034482;0.9752007557864903;0.9605263157894737;0.9726027397260274;0.9594594594594594;0.948051948051948;0.96;0.9601280926053818;1.0;0.9861111111111112;0.9861111111111112;1.0;0.9863013698630136;0.9917047184170471;0.9798657718120806;0.9793103448275863;0.9726027397260274;0.9733333333333333;0.9729729729729729;0.9756170325344001;73;71;71;73;72;72.0;70;71;70;68;69;69.6;3;2;3;4;3;3.0;0;1;1;0;1;0.6;0.6132075471698113;0.5676691729323309;0.949685534591195;0.7105882352941177;151;44;115;8;Common words
0;1_Natural Language Processing;RandomForestClassifier_Count_Vectors_RandomUnder;abstracts.csv;somef_data.csv;0.5755825042724609;0.536475658416748;0.5338952541351318;0.5618021488189697;0.5669364929199219;0.5549384117126465;0.037956953048706055;0.05253481864929199;0.04953598976135254;0.04524683952331543;0.03685784339904785;0.044426488876342776;0.9831606217616581;0.9831387808041504;0.9870298313878081;0.9948119325551232;0.9870298313878081;0.9870341995793096;0.9869451697127938;0.9769230769230769;0.987012987012987;0.9897435897435898;0.9895833333333334;0.9860416313451561;0.9792746113989638;0.9896103896103896;0.987012987012987;1.0;0.9844559585492227;0.9880707893143125;0.9830949284785435;0.9832258064516128;0.987012987012987;0.9948453608247423;0.9870129870129869;0.9870384139561745;378;381;380;386;380;381.0;381;377;381;381;381;380.2;5;9;5;4;4;5.4;8;4;5;0;6;4.6;0.6977777777777778;0.6334332833583208;0.9388888888888889;0.756490599820949;845;411;489;55;Common words
