PipelineID;Pipeline;test_acc_mean;test_prec_mean;test_recall_mean;test_f1-score_mean;acc_overall;prec_overall;recall_overall;f1-score_overall;train_set;validation_set
1_General;LR_Count_Vectors_RandomUnder;0.9922113021472672;0.991655540983498;0.9927812828179988;0.9922170452754322;0.5237113402061856;0.5369379014989293;0.34467353951890034;0.4198409376308078;abstracts.csv;somef_data.csv
1_Sequential;LinearSVC_TFIDF_RandomUnder;0.9834739845789571;1.0;0.967008547008547;0.9830875876340268;0.5176991150442478;0.9;0.03982300884955752;0.07627118644067797;abstracts.csv;somef_data.csv
1_Natural Language Processing;SGDClassifier_Count_Vectors_RandomUnder;0.9888500231850165;0.9871115776641263;0.9906628086938968;0.9888770621386908;0.6833333333333333;0.6620825147347741;0.7488888888888889;0.7028154327424401;abstracts.csv;somef_data.csv
1_Computer Vision;LinearSVC_TFIDF_RandomUnder;0.9960127723081355;0.9951587302967095;0.99687574361304;0.996015331921377;0.589542309739223;0.5577682403433476;0.8645556146886642;0.6780757591568402;abstracts.csv;somef_data.csv
1_Audio;AdaBoostClassifier_TFIDF_RandomUnder;0.9930129672006102;0.9897136177673875;0.9964912280701753;0.9930424259166083;0.623015873015873;0.5707762557077626;0.9920634920634921;0.7246376811594203;abstracts.csv;somef_data.csv
1_Reinforcement Learning;SGDClassifier_Count_Vectors_RandomUnder;0.9967668588721221;0.9991902834008097;0.9943417787645291;0.9967545572179901;0.775;0.8;0.7333333333333333;0.7652173913043478;abstracts.csv;somef_data.csv
1_Graphs;LinearSVC_TFIDF_RandomUnder;0.9917430325932923;0.9838909046032333;1.0;0.9918547400320801;0.5880503144654088;0.5486111111111112;0.9937106918238994;0.7069351230425057;abstracts.csv;somef_data.csv
