PipelineID;Pipeline;test_acc_mean;test_prec_mean;test_recall_mean;test_f1-score_mean;acc_overall;prec_overall;recall_overall;f1-score_overall;train_set;validation_set;preprocessing
1_General;LR_Count_Vectors_RandomUnder;0.9915780500679523;0.9914053728004483;0.9917679832613174;0.9915832674686407;0.5706185567010309;0.5608888888888889;0.6505154639175258;0.6023866348448688;abstracts.csv;readme.csv;Preprocessed
1_Audio;SVC_Count_Vectors_RandomUnder;0.9912433257055682;0.9830508474576272;1.0;0.9913940465664604;0.8253968253968254;0.847457627118644;0.7936507936507936;0.819672131147541;abstracts.csv;readme.csv;Preprocessed
1_Computer Vision;SVC_TFIDF_RandomUnder;0.9965060496960895;0.995896840666618;0.9971224541393559;0.9965080782091192;0.6742948376796168;0.6352188274153592;0.8187865886109633;0.7154150197628459;abstracts.csv;readme.csv;Preprocessed
1_Graphs;SVC_TFIDF_RandomUnder;0.993112895606991;1.0;0.986263318112633;0.9930650001339657;0.9088050314465409;0.891566265060241;0.9308176100628931;0.9107692307692308;abstracts.csv;readme.csv;Preprocessed
1_Natural Language Processing;SGDClassifier_TFIDF_RandomUnder;0.9898866286297991;0.9841732902949174;0.9958522306708835;0.9899565462033827;0.8355555555555556;0.7780847145488029;0.9388888888888889;0.8509566968781471;abstracts.csv;readme.csv;Preprocessed
1_Reinforcement Learning;SVC_Count_Vectors_RandomUnder;0.9959579601684865;0.9983772752707285;0.993532062165339;0.9959464797279439;0.9052083333333333;0.9598108747044918;0.8458333333333333;0.8992248062015503;abstracts.csv;readme.csv;Preprocessed
1_Sequential;SVC_Count_Vectors_RandomUnder;0.9845971707850161;0.9868848542761587;0.9823687423687424;0.9845899491453498;0.6814159292035398;0.8014705882352942;0.4823008849557522;0.6022099447513811;abstracts.csv;readme.csv;Preprocessed
