;params;mean_fit_time;mean_test_accuracy;mean_test_precision_macro;mean_test_precision_weighted;mean_test_recall_macro;mean_test_recall_weighted;mean_test_f1_macro;mean_test_f1_weighted
102;{'vect__max_df': 1.0, 'vect__max_features': 2500, 'vect__min_df': 0.0, 'vect__ngram_range': (1, 1)};0.87;0.98;0.94;0.98;0.94;0.98;0.94;0.98
1;{'vect__max_df': 0.8, 'vect__max_features': None, 'vect__min_df': 0.0, 'vect__ngram_range': (1, 2)};3.98;0.98;0.96;0.98;0.94;0.98;0.95;0.98
43;{'vect__max_df': 0.9, 'vect__max_features': None, 'vect__min_df': 0.0, 'vect__ngram_range': (1, 2)};4.07;0.98;0.96;0.98;0.94;0.98;0.95;0.98
85;{'vect__max_df': 1.0, 'vect__max_features': None, 'vect__min_df': 0.0, 'vect__ngram_range': (1, 2)};4.1;0.98;0.96;0.98;0.94;0.98;0.95;0.98
19;{'vect__max_df': 0.8, 'vect__max_features': 2500, 'vect__min_df': 0.0, 'vect__ngram_range': (1, 2)};4.06;0.98;0.95;0.98;0.94;0.98;0.94;0.98
61;{'vect__max_df': 0.9, 'vect__max_features': 2500, 'vect__min_df': 0.0, 'vect__ngram_range': (1, 2)};4.06;0.98;0.95;0.98;0.94;0.98;0.94;0.98
103;{'vect__max_df': 1.0, 'vect__max_features': 2500, 'vect__min_df': 0.0, 'vect__ngram_range': (1, 2)};4.05;0.98;0.95;0.98;0.94;0.98;0.94;0.98
