;params;mean_fit_time;mean_test_accuracy;mean_test_precision_macro;mean_test_precision_weighted;mean_test_recall_macro;mean_test_recall_weighted;mean_test_f1_macro;mean_test_f1_weighted
108;{'vect__max_df': 1.0, 'vect__max_features': 3000, 'vect__min_df': 0.0, 'vect__ngram_range': (1, 1)};0.94;0.93;0.84;0.94;0.84;0.93;0.83;0.93
1;{'vect__max_df': 0.8, 'vect__max_features': None, 'vect__min_df': 0.0, 'vect__ngram_range': (1, 2)};3.98;0.95;0.9;0.95;0.85;0.95;0.87;0.95
43;{'vect__max_df': 0.9, 'vect__max_features': None, 'vect__min_df': 0.0, 'vect__ngram_range': (1, 2)};3.89;0.95;0.9;0.95;0.85;0.95;0.87;0.95
85;{'vect__max_df': 1.0, 'vect__max_features': None, 'vect__min_df': 0.0, 'vect__ngram_range': (1, 2)};3.78;0.95;0.9;0.95;0.85;0.95;0.87;0.95
