;params;mean_fit_time;mean_test_accuracy;mean_test_precision_macro;mean_test_precision_weighted;mean_test_recall_macro;mean_test_recall_weighted;mean_test_f1_macro;mean_test_f1_weighted
2;{'vect__max_df': 0.8, 'vect__max_features': None, 'vect__min_df': 0.1, 'vect__ngram_range': (1, 1)};0.83;0.95;0.72;0.97;0.78;0.95;0.73;0.96
1;{'vect__max_df': 0.8, 'vect__max_features': None, 'vect__min_df': 0.0, 'vect__ngram_range': (1, 2)};4.1;0.98;0.9;0.98;0.84;0.98;0.87;0.98
43;{'vect__max_df': 0.9, 'vect__max_features': None, 'vect__min_df': 0.0, 'vect__ngram_range': (1, 2)};4.02;0.98;0.9;0.98;0.84;0.98;0.87;0.98
85;{'vect__max_df': 1.0, 'vect__max_features': None, 'vect__min_df': 0.0, 'vect__ngram_range': (1, 2)};3.99;0.98;0.9;0.98;0.84;0.98;0.87;0.98
37;{'vect__max_df': 0.8, 'vect__max_features': 10000, 'vect__min_df': 0.0, 'vect__ngram_range': (1, 2)};4.1;0.98;0.85;0.98;0.87;0.98;0.85;0.98
79;{'vect__max_df': 0.9, 'vect__max_features': 10000, 'vect__min_df': 0.0, 'vect__ngram_range': (1, 2)};4.11;0.98;0.85;0.98;0.87;0.98;0.85;0.98
121;{'vect__max_df': 1.0, 'vect__max_features': 10000, 'vect__min_df': 0.0, 'vect__ngram_range': (1, 2)};4.04;0.98;0.85;0.98;0.87;0.98;0.85;0.98
