;params;mean_fit_time;mean_test_accuracy;mean_test_precision_macro;mean_test_precision_weighted;mean_test_recall_macro;mean_test_recall_weighted;mean_test_f1_macro;mean_test_f1_weighted
86;{'vect__max_df': 1.0, 'vect__max_features': None, 'vect__min_df': 0.1, 'vect__ngram_range': (1, 1)};0.83;0.97;0.57;0.98;0.62;0.97;0.58;0.97
1;{'vect__max_df': 0.8, 'vect__max_features': None, 'vect__min_df': 0.0, 'vect__ngram_range': (1, 2)};4.1;0.99;0.84;0.99;0.72;0.99;0.76;0.99
43;{'vect__max_df': 0.9, 'vect__max_features': None, 'vect__min_df': 0.0, 'vect__ngram_range': (1, 2)};4.19;0.99;0.84;0.99;0.72;0.99;0.76;0.99
85;{'vect__max_df': 1.0, 'vect__max_features': None, 'vect__min_df': 0.0, 'vect__ngram_range': (1, 2)};4.05;0.99;0.84;0.99;0.72;0.99;0.76;0.99
0;{'vect__max_df': 0.8, 'vect__max_features': None, 'vect__min_df': 0.0, 'vect__ngram_range': (1, 1)};0.91;0.99;0.8;0.99;0.78;0.99;0.79;0.99
42;{'vect__max_df': 0.9, 'vect__max_features': None, 'vect__min_df': 0.0, 'vect__ngram_range': (1, 1)};0.93;0.99;0.8;0.99;0.78;0.99;0.79;0.99
84;{'vect__max_df': 1.0, 'vect__max_features': None, 'vect__min_df': 0.0, 'vect__ngram_range': (1, 1)};0.93;0.99;0.8;0.99;0.78;0.99;0.79;0.99
