;params;mean_fit_time;mean_test_accuracy;mean_test_precision_macro;mean_test_precision_weighted;mean_test_recall_macro;mean_test_recall_weighted;mean_test_f1_macro;mean_test_f1_weighted
36;{'vect__max_df': 0.8, 'vect__max_features': 10000, 'vect__min_df': 0.0, 'vect__ngram_range': (1, 1)};1.27;0.83;0.83;0.83;0.83;0.83;0.83;0.83
1;{'vect__max_df': 0.8, 'vect__max_features': None, 'vect__min_df': 0.0, 'vect__ngram_range': (1, 2)};5.55;0.85;0.85;0.85;0.85;0.85;0.85;0.85
43;{'vect__max_df': 0.9, 'vect__max_features': None, 'vect__min_df': 0.0, 'vect__ngram_range': (1, 2)};5.14;0.85;0.85;0.85;0.85;0.85;0.85;0.85
85;{'vect__max_df': 1.0, 'vect__max_features': None, 'vect__min_df': 0.0, 'vect__ngram_range': (1, 2)};5.12;0.85;0.85;0.85;0.85;0.85;0.85;0.85
